Freq.	Vvf
3.40350000000000e+05	5.26440871354427e+01	1.13808719719859e+02
3.50360000000000e+05	5.25044380538727e+01	1.12422916856168e+02
3.60370000000000e+05	5.23631506349373e+01	1.11051932918670e+02
3.70380000000000e+05	5.22202671554787e+01	1.09696419047485e+02
3.80390000000000e+05	5.20758384721039e+01	1.08356956069309e+02
3.90400000000000e+05	5.19299225021105e+01	1.07034057912487e+02
4.00410000000000e+05	5.17825828964782e+01	1.05728175009439e+02
4.10420000000000e+05	5.16338878807311e+01	1.04439697662117e+02
4.20430000000000e+05	5.14839092395826e+01	1.03168959351779e+02
4.30440000000000e+05	5.13327214265478e+01	1.01916239995686e+02
4.40450000000000e+05	5.11804007839630e+01	1.00681769132663e+02
4.50460000000000e+05	5.10270248597139e+01	9.94657290357334e+01
4.60470000000000e+05	5.08726718097610e+01	9.82682577465852e+01
4.70480000000000e+05	5.07174198777006e+01	9.70894520242258e+01
4.80490000000000e+05	5.05613469420800e+01	9.59293702075581e+01
4.90500000000000e+05	5.04045301258600e+01	9.47880349767538e+01
5.00510000000000e+05	5.02470454600390e+01	9.36654360282450e+01
5.10520000000000e+05	5.00889675975389e+01	9.25615326386524e+01
5.20530000000000e+05	4.99303695710533e+01	9.14762561301388e+01
5.30540000000000e+05	4.97713225909997e+01	9.04095122297439e+01
5.40550000000000e+05	4.96118958794600e+01	8.93611833181795e+01
5.50560000000000e+05	4.94521565360460e+01	8.83311305709412e+01
5.60570000000000e+05	4.92921694326168e+01	8.73191959930539e+01
5.70580000000000e+05	4.91319971334805e+01	8.63252043399788e+01
5.80590000000000e+05	4.89716998383721e+01	8.53489649368929e+01
5.90600000000000e+05	4.88113353455456e+01	8.43902733853097e+01
6.00610000000000e+05	4.86509590326083e+01	8.34489131683416e+01
6.10620000000000e+05	4.84906238527857e+01	8.25246571543559e+01
6.20630000000000e+05	4.83303803447789e+01	8.16172689986013e+01
6.30640000000000e+05	4.81702766543169e+01	8.07265044519425e+01
6.40650000000000e+05	4.80103585656970e+01	7.98521125736639e+01
6.50660000000000e+05	4.78506695419616e+01	7.89938368553045e+01
6.60670000000000e+05	4.76912507721374e+01	7.81514162630791e+01
6.70680000000000e+05	4.75321412245865e+01	7.73245861908291e+01
6.80690000000000e+05	4.73733777051131e+01	7.65130793437209e+01
6.90700000000000e+05	4.72149949190189e+01	7.57166265425641e+01
7.00710000000000e+05	4.70570255361689e+01	7.49349574612650e+01
7.10720000000000e+05	4.68995002583577e+01	7.41678012969849e+01
7.20730000000000e+05	4.67424478881435e+01	7.34148873796906e+01
7.30740000000000e+05	4.65858953987520e+01	7.26759457242421e+01
7.40750000000000e+05	4.64298680043830e+01	7.19507075260925e+01
7.50760000000000e+05	4.62743892305533e+01	7.12389056083016e+01
7.60770000000000e+05	4.61194809839695e+01	7.05402748226612e+01
7.70780000000000e+05	4.59651636217170e+01	6.98545524022380e+01
7.80790000000000e+05	4.58114560195453e+01	6.91814782799272e+01
7.90800000000000e+05	4.56583756386354e+01	6.85207953634997e+01
8.00810000000000e+05	4.55059385911712e+01	6.78722497793943e+01
8.10820000000000e+05	4.53541597042188e+01	6.72355910846786e+01
8.20830000000000e+05	4.52030525818306e+01	6.66105724483018e+01
8.30840000000000e+05	4.50526296652926e+01	6.59969508042478e+01
8.40850000000000e+05	4.49029022916337e+01	6.53944869850294e+01
8.50860000000000e+05	4.47538807499054e+01	6.48029458274129e+01
8.60870000000000e+05	4.46055743356511e+01	6.42220962581696e+01
8.70880000000000e+05	4.44579914033454e+01	6.36517113669088e+01
8.80890000000000e+05	4.43111394166642e+01	6.30915684531210e+01
8.90900000000000e+05	4.41650249969149e+01	6.25414490650046e+01
9.00910000000000e+05	4.40196539693969e+01	6.20011390221227e+01
9.10920000000000e+05	4.38750314077822e+01	6.14704284238323e+01
9.20930000000000e+05	4.37311616766080e+01	6.09491116499181e+01
9.30940000000000e+05	4.35880484718108e+01	6.04369873479879e+01
9.40950000000000e+05	4.34456948595015e+01	5.99338584135420e+01
9.50960000000000e+05	4.33041033129332e+01	5.94395319634314e+01
9.60970000000000e+05	4.31632757476218e+01	5.89538192984970e+01
9.70980000000000e+05	4.30232135549693e+01	5.84765358646378e+01
9.80990000000000e+05	4.28839176340744e+01	5.80075012037252e+01
9.91000000000000e+05	4.27453884220997e+01	5.75465389050109e+01
1.00101000000000e+06	4.26076259230554e+01	5.70934765468816e+01
1.01102000000000e+06	4.24706297352226e+01	5.66481456406496e+01
1.02103000000000e+06	4.23343990769896e+01	5.62103815653809e+01
1.03104000000000e+06	4.21989328116162e+01	5.57800235067377e+01
1.04105000000000e+06	4.20642294704805e+01	5.53569143880054e+01
1.05106000000000e+06	4.19302872752272e+01	5.49409008032554e+01
1.06107000000000e+06	4.17971041587806e+01	5.45318329483268e+01
1.07108000000000e+06	4.16646777850398e+01	5.41295645484617e+01
1.08109000000000e+06	4.15330055677477e+01	5.37339527889864e+01
1.09110000000000e+06	4.14020846881899e+01	5.33448582428012e+01
1.10111000000000e+06	4.12719121119883e+01	5.29621447989133e+01
1.11112000000000e+06	4.11424846049530e+01	5.25856795908135e+01
1.12113000000000e+06	4.10137987480444e+01	5.22153329246821e+01
1.13114000000000e+06	4.08858509514996e+01	5.18509782073786e+01
1.14115000000000e+06	4.07586374682299e+01	5.14924918768788e+01
1.15116000000000e+06	4.06321544064083e+01	5.11397533323118e+01
1.16117000000000e+06	4.05063977412612e+01	5.07926448622541e+01
1.17118000000000e+06	4.03813633263975e+01	5.04510515789201e+01
1.18119000000000e+06	4.02570469042545e+01	5.01148613483652e+01
1.19120000000000e+06	4.01334441161605e+01	4.97839647258350e+01
1.20121000000000e+06	4.00105505115829e+01	4.94582548875620e+01
1.21122000000000e+06	3.98883615570313e+01	4.91376275682579e+01
1.22123000000000e+06	3.97668726443064e+01	4.88219809963520e+01
1.23124000000000e+06	3.96460790983596e+01	4.85112158326726e+01
1.24125000000000e+06	3.95259761846162e+01	4.82052351090099e+01
1.25126000000000e+06	3.94065591158437e+01	4.79039441676692e+01
1.26127000000000e+06	3.92878230586941e+01	4.76072506036789e+01
1.27128000000000e+06	3.91697631397582e+01	4.73150642069972e+01
1.28129000000000e+06	3.90523744513100e+01	4.70272969066073e+01
1.29130000000000e+06	3.89356520566410e+01	4.67438627153137e+01
1.30131000000000e+06	3.88195909951303e+01	4.64646776764560e+01
1.31132000000000e+06	3.87041862869255e+01	4.61896598110751e+01
1.32133000000000e+06	3.85894329373942e+01	4.59187290675263e+01
1.33134000000000e+06	3.84753259412434e+01	4.56518072708080e+01
1.34135000000000e+06	3.83618602864044e+01	4.53888180746500e+01
1.35136000000000e+06	3.82490309576389e+01	4.51296869131988e+01
1.36137000000000e+06	3.81368329399384e+01	4.48743409553427e+01
1.37138000000000e+06	3.80252612216598e+01	4.46227090592244e+01
1.38139000000000e+06	3.79143107975300e+01	4.43747217287869e+01
1.39140000000000e+06	3.78039766713274e+01	4.41303110704574e+01
1.40141000000000e+06	3.76942538584916e+01	4.38894107516600e+01
1.41142000000000e+06	3.75851373884991e+01	4.36519559602645e+01
1.42143000000000e+06	3.74766223070529e+01	4.34178833647452e+01
1.43144000000000e+06	3.73687036781765e+01	4.31871310759326e+01
1.44145000000000e+06	3.72613765860959e+01	4.29596386094787e+01
1.45146000000000e+06	3.71546361370333e+01	4.27353468495368e+01
1.46147000000000e+06	3.70484774608359e+01	4.25141980130954e+01
1.47148000000000e+06	3.69428957124761e+01	4.22961356156132e+01
1.48149000000000e+06	3.68378860734665e+01	4.20811044372923e+01
1.49150000000000e+06	3.67334437531180e+01	4.18690504904138e+01
1.50151000000000e+06	3.66295639897315e+01	4.16599209876337e+01
1.51152000000000e+06	3.65262420517118e+01	4.14536643114292e+01
1.52153000000000e+06	3.64234732384834e+01	4.12502299831046e+01
1.53154000000000e+06	3.63212528814818e+01	4.10495686349282e+01
1.54155000000000e+06	3.62195763448835e+01	4.08516319801908e+01
1.55156000000000e+06	3.61184390264270e+01	4.06563727870204e+01
1.56157000000000e+06	3.60178363580196e+01	4.04637448502038e+01
1.57158000000000e+06	3.59177638063934e+01	4.02737029662246e+01
1.58159000000000e+06	3.58182168735939e+01	4.00862029069362e+01
1.59160000000000e+06	3.57191910975206e+01	3.99012013957248e+01
1.60161000000000e+06	3.56206820522588e+01	3.97186560823507e+01
1.61162000000000e+06	3.55226853485470e+01	3.95385255209249e+01
1.62163000000000e+06	3.54251966340155e+01	3.93607691460061e+01
1.63164000000000e+06	3.53282115935083e+01	3.91853472515320e+01
1.64165000000000e+06	3.52317259492745e+01	3.90122209683245e+01
1.65166000000000e+06	3.51357354612107e+01	3.88413522445809e+01
1.66167000000000e+06	3.50402359269219e+01	3.86727038237947e+01
1.67168000000000e+06	3.49452231819253e+01	3.85062392268643e+01
1.68169000000000e+06	3.48506930996722e+01	3.83419227315994e+01
1.69170000000000e+06	3.47566415916140e+01	3.81797193546381e+01
1.70171000000000e+06	3.46630646072103e+01	3.80195948330892e+01
1.71172000000000e+06	3.45699581339234e+01	3.78615156069142e+01
1.72173000000000e+06	3.44773181972010e+01	3.77054488020819e+01
1.73174000000000e+06	3.43851408603847e+01	3.75513622133778e+01
1.74175000000000e+06	3.42934222246337e+01	3.73992242882703e+01
1.75176000000000e+06	3.42021584288535e+01	3.72490041115452e+01
1.76177000000000e+06	3.41113456495408e+01	3.71006713895067e+01
1.77178000000000e+06	3.40209801006413e+01	3.69541964350509e+01
1.78179000000000e+06	3.39310580334258e+01	3.68095501534884e+01
1.79180000000000e+06	3.38415757362836e+01	3.66667040280021e+01
1.80181000000000e+06	3.37525295345327e+01	3.65256301057840e+01
1.81182000000000e+06	3.36639157902856e+01	3.63863009856715e+01
1.82183000000000e+06	3.35757309021201e+01	3.62486898033388e+01
1.83184000000000e+06	3.34879713049837e+01	3.61127702206162e+01
1.84185000000000e+06	3.34006334698592e+01	3.59785164114282e+01
1.85186000000000e+06	3.33137139035742e+01	3.58459030508817e+01
1.86187000000000e+06	3.32272091485214e+01	3.57149053029143e+01
1.87188000000000e+06	3.31411157824517e+01	3.55854988098267e+01
1.88189000000000e+06	3.30554304181242e+01	3.54576596800156e+01
1.89190000000000e+06	3.29701497030973e+01	3.53313644780430e+01
1.90191000000000e+06	3.28852703194286e+01	3.52065902139494e+01
1.91192000000000e+06	3.28007889833859e+01	3.50833143328261e+01
1.92193000000000e+06	3.27167024451571e+01	3.49615147051000e+01
1.93194000000000e+06	3.26330074885664e+01	3.48411696167115e+01
1.94195000000000e+06	3.25497009307709e+01	3.47222577598993e+01
1.95196000000000e+06	3.24667796219546e+01	3.46047582236136e+01
1.96197000000000e+06	3.23842404450224e+01	3.44886504848488e+01
1.97198000000000e+06	3.23020803153265e+01	3.43739144001439e+01
1.98199000000000e+06	3.22202961803054e+01	3.42605301965255e+01
1.99200000000000e+06	3.21388850192062e+01	3.41484784635114e+01
2.00201000000000e+06	3.20578438427876e+01	3.40377401454923e+01
2.01202000000000e+06	3.19771696929653e+01	3.39282965329870e+01
2.02203000000000e+06	3.18968596425200e+01	3.38201292556264e+01
2.03204000000000e+06	3.18169107948111e+01	3.37132202747401e+01
2.04205000000000e+06	3.17373202834204e+01	3.36075518757400e+01
2.05206000000000e+06	3.16580852718536e+01	3.35031066611578e+01
2.06207000000000e+06	3.15792029532341e+01	3.33998675437775e+01
2.07208000000000e+06	3.15006705499887e+01	3.32978177400533e+01
2.08209000000000e+06	3.14224853135227e+01	3.31969407632149e+01
2.09210000000000e+06	3.13446445239314e+01	3.30972204172632e+01
2.10211000000000e+06	3.12671454896629e+01	3.29986407903681e+01
2.11212000000000e+06	3.11899855472327e+01	3.29011862490309e+01
2.12213000000000e+06	3.11131620609034e+01	3.28048414321703e+01
2.13214000000000e+06	3.10366724223654e+01	3.27095912449127e+01
2.14215000000000e+06	3.09605140504874e+01	3.26154208539235e+01
2.15216000000000e+06	3.08846843909266e+01	3.25223156805769e+01
2.16217000000000e+06	3.08091809159178e+01	3.24302613968691e+01
2.17218000000000e+06	3.07340011238967e+01	3.23392439191879e+01
2.18219000000000e+06	3.06591425392647e+01	3.22492494039235e+01
2.19220000000000e+06	3.05846027120467e+01	3.21602642419740e+01
2.20221000000000e+06	3.05103792176371e+01	3.20722750543154e+01
2.21222000000000e+06	3.04364696564733e+01	3.19852686867867e+01
2.22223000000000e+06	3.03628716537846e+01	3.18992322060451e+01
2.23224000000000e+06	3.02895828592675e+01	3.18141528943958e+01
2.24225000000000e+06	3.02166009468315e+01	3.17300182458189e+01
2.25226000000000e+06	3.01439236143198e+01	3.16468159618213e+01
2.26227000000000e+06	3.00715485831959e+01	3.15645339465071e+01
2.27228000000000e+06	2.99994735983116e+01	3.14831603032985e+01
2.28229000000000e+06	2.99276964276080e+01	3.14026833304591e+01
2.29230000000000e+06	2.98562148618489e+01	3.13230915172548e+01
2.30231000000000e+06	2.97850267143456e+01	3.12443735400210e+01
2.31232000000000e+06	2.97141298207225e+01	3.11665182589578e+01
2.32233000000000e+06	2.96435220386144e+01	3.10895147138009e+01
2.33234000000000e+06	2.95732012474324e+01	3.10133521206778e+01
2.34235000000000e+06	2.95031653481072e+01	3.09380198686697e+01
2.35236000000000e+06	2.94334122628027e+01	3.08635075159498e+01
2.36237000000000e+06	2.93639399347177e+01	3.07898047871180e+01
2.37238000000000e+06	2.92947463277888e+01	3.07169015695034e+01
2.38239000000000e+06	2.92258294264629e+01	3.06447879100133e+01
2.39240000000000e+06	2.91571872354651e+01	3.05734540124013e+01
2.40241000000000e+06	2.90888177795344e+01	3.05028902337899e+01
2.41242000000000e+06	2.90207191032043e+01	3.04330870820605e+01
2.42243000000000e+06	2.89528892705618e+01	3.03640352127950e+01
2.43244000000000e+06	2.88853263650090e+01	3.02957254264103e+01
2.44245000000000e+06	2.88180284890388e+01	3.02281486655639e+01
2.45246000000000e+06	2.87509937640112e+01	3.01612960123781e+01
2.46247000000000e+06	2.86842203299183e+01	3.00951586857537e+01
2.47248000000000e+06	2.86177063451662e+01	3.00297280387377e+01
2.48249000000000e+06	2.85514499863696e+01	2.99649955563244e+01
2.49250000000000e+06	2.84854494481089e+01	2.99009528525603e+01
2.50251000000000e+06	2.84197029427398e+01	2.98375916683827e+01
2.51252000000000e+06	2.83542087001712e+01	2.97749038693145e+01
2.52253000000000e+06	2.82889649676480e+01	2.97128814428003e+01
2.53254000000000e+06	2.82239700095731e+01	2.96515164965893e+01
2.54255000000000e+06	2.81592221072659e+01	2.95908012557895e+01
2.55256000000000e+06	2.80947195587932e+01	2.95307280612286e+01
2.56257000000000e+06	2.80304606787446e+01	2.94712893670984e+01
2.57258000000000e+06	2.79664437980675e+01	2.94124777391303e+01
2.58259000000000e+06	2.79026672638372e+01	2.93542858522145e+01
2.59260000000000e+06	2.78391294390949e+01	2.92967064887749e+01
2.60261000000000e+06	2.77758287026319e+01	2.92397325364446e+01
2.61262000000000e+06	2.77127634488330e+01	2.91833569865969e+01
2.62263000000000e+06	2.76499320874768e+01	2.91275729323682e+01
2.63264000000000e+06	2.75873330435404e+01	2.90723735664294e+01
2.64265000000000e+06	2.75249647570442e+01	2.90177521798496e+01
2.65266000000000e+06	2.74628256828660e+01	2.89637021599614e+01
2.66267000000000e+06	2.74009142905590e+01	2.89102169887489e+01
2.67268000000000e+06	2.73392290641806e+01	2.88572902410335e+01
2.68269000000000e+06	2.72777685021342e+01	2.88049155832648e+01
2.69270000000000e+06	2.72165311169839e+01	2.87530867713695e+01
2.70271000000000e+06	2.71555154353038e+01	2.87017976496612e+01
2.71272000000000e+06	2.70947199974987e+01	2.86510421489778e+01
2.72273000000000e+06	2.70341433576585e+01	2.86008142853806e+01
2.73274000000000e+06	2.69737840833786e+01	2.85511081584825e+01
2.74275000000000e+06	2.69136407556208e+01	2.85019179502602e+01
2.75276000000000e+06	2.68537119685498e+01	2.84532379234802e+01
2.76277000000000e+06	2.67939963293750e+01	2.84050624202455e+01
2.77278000000000e+06	2.67344924582143e+01	2.83573858609932e+01
2.78279000000000e+06	2.66751989879180e+01	2.83102027425861e+01
2.79280000000000e+06	2.66161145639502e+01	2.82635076376433e+01
2.80281000000000e+06	2.65572378442217e+01	2.82172951927769e+01
2.81282000000000e+06	2.64985674989558e+01	2.81715601275683e+01
2.82283000000000e+06	2.64401022105453e+01	2.81262972333791e+01
2.83284000000000e+06	2.63818406734061e+01	2.80815013719443e+01
2.84285000000000e+06	2.63237815938501e+01	2.80371674745045e+01
2.85286000000000e+06	2.62659236899380e+01	2.79932905403126e+01
2.86287000000000e+06	2.62082656913481e+01	2.79498656357420e+01
2.87288000000000e+06	2.61508063392453e+01	2.79068878931102e+01
2.88289000000000e+06	2.60935443861513e+01	2.78643525096437e+01
2.89290000000000e+06	2.60364785958098e+01	2.78222547463282e+01
2.90291000000000e+06	2.59796077430535e+01	2.77805899267173e+01
2.91292000000000e+06	2.59229306136965e+01	2.77393534364055e+01
2.92293000000000e+06	2.58664460043894e+01	2.76985407214618e+01
2.93294000000000e+06	2.58101527225115e+01	2.76581472877913e+01
2.94295000000000e+06	2.57540495860372e+01	2.76181687000395e+01
2.95296000000000e+06	2.56981354234270e+01	2.75786005807257e+01
2.96297000000000e+06	2.56424090734995e+01	2.75394386091839e+01
2.97298000000000e+06	2.55868693853258e+01	2.75006785208167e+01
2.98299000000000e+06	2.55315152180974e+01	2.74623161059722e+01
2.99300000000000e+06	2.54763454410347e+01	2.74243472094079e+01
3.00301000000000e+06	2.54213589332563e+01	2.73867677290752e+01
3.01302000000000e+06	2.53665545836778e+01	2.73495736155648e+01
3.02303000000000e+06	2.53119312908987e+01	2.73127608709933e+01
3.03304000000000e+06	2.52574879630922e+01	2.72763255484734e+01
3.04305000000000e+06	2.52032235179081e+01	2.72402637511150e+01
3.05306000000000e+06	2.51491368823613e+01	2.72045716314426e+01
3.06307000000000e+06	2.50952269927182e+01	2.71692453902413e+01
3.07308000000000e+06	2.50414927944187e+01	2.71342812763612e+01
3.08309000000000e+06	2.49879332419565e+01	2.70996755855735e+01
3.09310000000000e+06	2.49345472987721e+01	2.70654246598175e+01
3.10311000000000e+06	2.48813339371824e+01	2.70315248868075e+01
3.11312000000000e+06	2.48282921382542e+01	2.69979726990147e+01
3.12313000000000e+06	2.47754208917327e+01	2.69647645732513e+01
3.13314000000000e+06	2.47227191959242e+01	2.69318970297115e+01
3.14315000000000e+06	2.46701860576165e+01	2.68993666315495e+01
3.15316000000000e+06	2.46178204919870e+01	2.68671699841247e+01
3.16317000000000e+06	2.45656215225081e+01	2.68353037344066e+01
3.17318000000000e+06	2.45135881808491e+01	2.68037645701886e+01
3.18319000000000e+06	2.44617195068028e+01	2.67725492197501e+01
3.19320000000000e+06	2.44100145481910e+01	2.67416544510334e+01
3.20321000000000e+06	2.43584723607699e+01	2.67110770711227e+01
3.21322000000000e+06	2.43070920081592e+01	2.66808139256749e+01
3.22323000000000e+06	2.42558725617470e+01	2.66508618983198e+01
3.23324000000000e+06	2.42048131006119e+01	2.66212179101100e+01
3.24325000000000e+06	2.41539127114380e+01	2.65918789189710e+01
3.25326000000000e+06	2.41031704884310e+01	2.65628419191418e+01
3.26327000000000e+06	2.40525855332477e+01	2.65341039406862e+01
3.27328000000000e+06	2.40021569549125e+01	2.65056620489656e+01
3.28329000000000e+06	2.39518838697241e+01	2.64775133439454e+01
3.29330000000000e+06	2.39017654012105e+01	2.64496549600804e+01
3.30331000000000e+06	2.38518006800122e+01	2.64220840652425e+01
3.31332000000000e+06	2.38019888438483e+01	2.63947978609495e+01
3.32333000000000e+06	2.37523290374148e+01	2.63677935812498e+01
3.33334000000000e+06	2.37028204123179e+01	2.63410684926220e+01
3.34335000000000e+06	2.36534621270028e+01	2.63146198932675e+01
3.35336000000000e+06	2.36042533466853e+01	2.62884451129371e+01
3.36337000000000e+06	2.35551932432725e+01	2.62625415121493e+01
3.37338000000000e+06	2.35062809953045e+01	2.62369064821506e+01
3.38339000000000e+06	2.34575157878739e+01	2.62115374440289e+01
3.39340000000000e+06	2.34088968125692e+01	2.61864318486993e+01
3.40341000000000e+06	2.33604232673995e+01	2.61615871762812e+01
3.41342000000000e+06	2.33120943567267e+01	2.61370009355914e+01
3.42343000000000e+06	2.32639092912057e+01	2.61126706639330e+01
3.43344000000000e+06	2.32158672877176e+01	2.60885939266135e+01
3.44345000000000e+06	2.31679675693129e+01	2.60647683167419e+01
3.45346000000000e+06	2.31202093651287e+01	2.60411914543384e+01
3.46347000000000e+06	2.30725919103463e+01	2.60178609865296e+01
3.47348000000000e+06	2.30251144461202e+01	2.59947745868565e+01
3.48349000000000e+06	2.29777762195212e+01	2.59719299550165e+01
3.49350000000000e+06	2.29305764834719e+01	2.59493248164247e+01
3.50351000000000e+06	2.28835144966935e+01	2.59269569220171e+01
3.51352000000000e+06	2.28365895236394e+01	2.59048240476687e+01
3.52353000000000e+06	2.27898008344427e+01	2.58829239940459e+01
3.53354000000000e+06	2.27431477048560e+01	2.58612545861828e+01
3.54355000000000e+06	2.26966294162015e+01	2.58398136732091e+01
3.55356000000000e+06	2.26502452553047e+01	2.58185991279536e+01
3.56357000000000e+06	2.26039945144486e+01	2.57976088466693e+01
3.57358000000000e+06	2.25578764913099e+01	2.57768407486731e+01
3.58359000000000e+06	2.25118904889218e+01	2.57562927761957e+01
3.59360000000000e+06	2.24660358155930e+01	2.57359628937537e+01
3.60361000000000e+06	2.24203117848901e+01	2.57158490882067e+01
3.61362000000000e+06	2.23747177155524e+01	2.56959493681953e+01
3.62363000000000e+06	2.23292529314612e+01	2.56762617640330e+01
3.63364000000000e+06	2.22839167615865e+01	2.56567843273450e+01
3.64365000000000e+06	2.22387085399322e+01	2.56375151307623e+01
3.65366000000000e+06	2.21936276054815e+01	2.56184522675739e+01
3.66367000000000e+06	2.21486733021676e+01	2.55995938517579e+01
3.67368000000000e+06	2.21038449788031e+01	2.55809380173355e+01
3.68369000000000e+06	2.20591419890436e+01	2.55624829183257e+01
3.69370000000000e+06	2.20145636913419e+01	2.55442267284367e+01
3.70371000000000e+06	2.19701094488961e+01	2.55261676408499e+01
3.71372000000000e+06	2.19257786296017e+01	2.55083038677547e+01
3.72373000000000e+06	2.18815706060232e+01	2.54906336406422e+01
3.73374000000000e+06	2.18374847553212e+01	2.54731552092781e+01
3.74375000000000e+06	2.17935204592282e+01	2.54558668420493e+01
3.75376000000000e+06	2.17496771040025e+01	2.54387668256284e+01
3.76377000000000e+06	2.17059540803799e+01	2.54218534645825e+01
3.77378000000000e+06	2.16623507835300e+01	2.54051250812546e+01
3.78379000000000e+06	2.16188666130182e+01	2.53885800154508e+01
3.79380000000000e+06	2.15755009727667e+01	2.53722166244351e+01
3.80381000000000e+06	2.15322532709956e+01	2.53560332822713e+01
3.81382000000000e+06	2.14891229202091e+01	2.53400283802096e+01
3.82383000000000e+06	2.14461093371312e+01	2.53242003259414e+01
3.83384000000000e+06	2.14032119426793e+01	2.53085475437004e+01
3.84385000000000e+06	2.13604301619175e+01	2.52930684739133e+01
3.85386000000000e+06	2.13177634240234e+01	2.52777615730284e+01
3.86387000000000e+06	2.12752111622448e+01	2.52626253133822e+01
3.87388000000000e+06	2.12327728138678e+01	2.52476581829340e+01
3.88389000000000e+06	2.11904478201649e+01	2.52328586850859e+01
3.89390000000000e+06	2.11482356263755e+01	2.52182253384404e+01
3.90391000000000e+06	2.11061356816578e+01	2.52037566767521e+01
3.91392000000000e+06	2.10641474390577e+01	2.51894512485840e+01
3.92393000000000e+06	2.10222703554700e+01	2.51753076173046e+01
3.93394000000000e+06	2.09805038915979e+01	2.51613243606148e+01
3.94395000000000e+06	2.09388475119279e+01	2.51475000706853e+01
3.95396000000000e+06	2.08973006846909e+01	2.51338333538494e+01
3.96397000000000e+06	2.08558628818268e+01	2.51203228304122e+01
3.97398000000000e+06	2.08145335789462e+01	2.51069671345294e+01
3.98399000000000e+06	2.07733122553050e+01	2.50937649139185e+01
3.99400000000000e+06	2.07321983937659e+01	2.50807148298599e+01
4.00401000000000e+06	2.06911914807699e+01	2.50678155570185e+01
4.01402000000000e+06	2.06502910062950e+01	2.50550657830944e+01
4.02403000000000e+06	2.06094964638362e+01	2.50424642089354e+01
4.03404000000000e+06	2.05688073503611e+01	2.50300095481096e+01
4.04405000000000e+06	2.05282231662897e+01	2.50177005270110e+01
4.05406000000000e+06	2.04877434154530e+01	2.50055358845115e+01
4.06407000000000e+06	2.04473676050716e+01	2.49935143718813e+01
4.07408000000000e+06	2.04070952457170e+01	2.49816347526731e+01
4.08409000000000e+06	2.03669258512888e+01	2.49698958025379e+01
4.09410000000000e+06	2.03268589389826e+01	2.49582963091277e+01
4.10411000000000e+06	2.02868940292561e+01	2.49468350718827e+01
4.11412000000000e+06	2.02470306458044e+01	2.49355109019082e+01
4.12413000000000e+06	2.02072683155316e+01	2.49243226219621e+01
4.13414000000000e+06	2.01676065685178e+01	2.49132690661016e+01
4.14415000000000e+06	2.01280449379981e+01	2.49023490797102e+01
4.15416000000000e+06	2.00885829603284e+01	2.48915615193942e+01
4.16417000000000e+06	2.00492201749592e+01	2.48809052526308e+01
4.17418000000000e+06	2.00099561244150e+01	2.48703791579893e+01
4.18419000000000e+06	1.99707903542527e+01	2.48599821246107e+01
4.19420000000000e+06	1.99317224130521e+01	2.48497130524838e+01
4.20421000000000e+06	1.98927518523762e+01	2.48395708519652e+01
4.21422000000000e+06	1.98538782267515e+01	2.48295544438371e+01
4.22423000000000e+06	1.98151010936412e+01	2.48196627592247e+01
