Freq.	Vvf)
3.20330000000000e+05	4.93405330075501e+01	1.10467665152235e+02
3.30340000000000e+05	4.91375800050875e+01	1.09274542672191e+02
3.40350000000000e+05	4.89365955452205e+01	1.08116759163306e+02
3.50360000000000e+05	4.87376167409831e+01	1.06992513018401e+02
3.60370000000000e+05	4.85406684275485e+01	1.05900108386074e+02
3.70380000000000e+05	4.83457649407832e+01	1.04837950279131e+02
3.80390000000000e+05	4.81529116728869e+01	1.03804539511080e+02
3.90400000000000e+05	4.79621064303789e+01	1.02798467573450e+02
4.00410000000000e+05	4.77733406171541e+01	1.01818411544599e+02
4.10420000000000e+05	4.75866002630462e+01	1.00863129101034e+02
4.20430000000000e+05	4.74018669170447e+01	9.99314536693561e+01
4.30440000000000e+05	4.72191184212818e+01	9.90222897615743e+01
4.40450000000000e+05	4.70383295806597e+01	9.81346085152920e+01
4.50460000000000e+05	4.68594727414764e+01	9.72674434464082e+01
4.60470000000000e+05	4.66825182902233e+01	9.64198864295915e+01
4.70480000000000e+05	4.65074350830519e+01	9.55910839007140e+01
4.80490000000000e+05	4.63341908146853e+01	9.47802332827032e+01
4.90500000000000e+05	4.61627523345002e+01	9.39865796326346e+01
5.00510000000000e+05	4.59930859169249e+01	9.32094124956214e+01
5.10520000000000e+05	4.58251574918920e+01	9.24480629634787e+01
5.20530000000000e+05	4.56589328407461e+01	9.17019009242940e+01
5.30540000000000e+05	4.54943777619586e+01	9.09703324998902e+01
5.40550000000000e+05	4.53314582109810e+01	9.02527976498325e+01
5.50560000000000e+05	4.51701404173726e+01	8.95487679427198e+01
5.60570000000000e+05	4.50103909823920e+01	8.88577444798114e+01
5.70580000000000e+05	4.48521769596678e+01	8.81792559620308e+01
5.80590000000000e+05	4.46954659213394e+01	8.75128568861308e+01
5.90600000000000e+05	4.45402260113846e+01	8.68581258739716e+01
6.00610000000000e+05	4.43864259881811e+01	8.62146641131348e+01
6.10620000000000e+05	4.42340352577261e+01	8.55820939033049e+01
6.20630000000000e+05	4.40830238986647e+01	8.49600573110181e+01
6.30640000000000e+05	4.39333626805235e+01	8.43482149111979e+01
6.40650000000000e+05	4.37850230759864e+01	8.37462446183837e+01
6.50660000000000e+05	4.36379772681047e+01	8.31538405996003e+01
6.60670000000000e+05	4.34921981532394e+01	8.25707122602410e+01
6.70680000000000e+05	4.33476593403499e+01	8.19965833006777e+01
6.80690000000000e+05	4.32043351472008e+01	8.14311908376340e+01
6.90700000000000e+05	4.30622005940006e+01	8.08742845847440e+01
7.00710000000000e+05	4.29212313948855e+01	8.03256260891070e+01
7.10720000000000e+05	4.27814039476209e+01	7.97849880186164e+01
7.20730000000000e+05	4.26426953218347e+01	7.92521534991755e+01
7.30740000000000e+05	4.25050832460789e+01	7.87269154945633e+01
7.40750000000000e+05	4.23685460939520e+01	7.82090762272473e+01
7.50760000000000e+05	4.22330628694732e+01	7.76984466398605e+01
7.60770000000000e+05	4.20986131919153e+01	7.71948458888206e+01
7.70780000000000e+05	4.19651772802281e+01	7.66981008753768e+01
7.80790000000000e+05	4.18327359371938e+01	7.62080458017060e+01
7.90800000000000e+05	4.17012705334259e+01	7.57245217615875e+01
8.00810000000000e+05	4.15707629913079e+01	7.52473763538686e+01
8.10820000000000e+05	4.14411957689489e+01	7.47764633208054e+01
8.20830000000000e+05	4.13125518442387e+01	7.43116422114449e+01
8.30840000000000e+05	4.11848146990378e+01	7.38527780641085e+01
8.40850000000000e+05	4.10579683035753e+01	7.33997411096971e+01
8.50860000000000e+05	4.09319971010883e+01	7.29524064955372e+01
8.60870000000000e+05	4.08068859927138e+01	7.25106540220584e+01
8.70880000000000e+05	4.06826203227000e+01	7.20743679002596e+01
8.80890000000000e+05	4.05591858639250e+01	7.16434365210381e+01
8.90900000000000e+05	4.04365688037554e+01	7.12177522403163e+01
9.00910000000000e+05	4.03147557302506e+01	7.07972111759003e+01
9.10920000000000e+05	4.01937336187314e+01	7.03817130177603e+01
9.20930000000000e+05	4.00734898187158e+01	6.99711608494285e+01
9.30940000000000e+05	3.99540120412209e+01	6.95654609800571e+01
9.40950000000000e+05	3.98352883464121e+01	6.91645227843522e+01
9.50960000000000e+05	3.97173071316754e+01	6.87682585564793e+01
9.60970000000000e+05	3.96000571200086e+01	6.83765833683073e+01
9.70980000000000e+05	3.94835273487975e+01	6.79894149376892e+01
9.80990000000000e+05	3.93677071589495e+01	6.76066735040370e+01
9.91000000000000e+05	3.92525861843917e+01	6.72282817116908e+01
1.00101000000000e+06	3.91381543418949e+01	6.68541644985340e+01
1.01102000000000e+06	3.90244018212690e+01	6.64842489925855e+01
1.02103000000000e+06	3.89113190758636e+01	6.61184644128109e+01
1.03104000000000e+06	3.87988968134292e+01	6.57567419773623e+01
1.04105000000000e+06	3.86871259872500e+01	6.53990148142925e+01
1.05106000000000e+06	3.85759977876527e+01	6.50452178806735e+01
1.06107000000000e+06	3.84655036337405e+01	6.46952878822154e+01
1.07108000000000e+06	3.83556351654965e+01	6.43491632010646e+01
1.08109000000000e+06	3.82463842361118e+01	6.40067838245018e+01
1.09110000000000e+06	3.81377429046277e+01	6.36680912792047e+01
1.10111000000000e+06	3.80297034288305e+01	6.33330285686032e+01
1.11112000000000e+06	3.79222582584109e+01	6.30015401133845e+01
1.12113000000000e+06	3.78154000283586e+01	6.26735716946903e+01
1.13114000000000e+06	3.77091215526317e+01	6.23490704015946e+01
1.14115000000000e+06	3.76034158180452e+01	6.20279845805788e+01
1.15116000000000e+06	3.74982759783459e+01	6.17102637860166e+01
1.16117000000000e+06	3.73936953486048e+01	6.13958587371721e+01
1.17118000000000e+06	3.72896673997077e+01	6.10847212728201e+01
1.18119000000000e+06	3.71861857531181e+01	6.07768043108881e+01
1.19120000000000e+06	3.70832441758408e+01	6.04720618102641e+01
1.20121000000000e+06	3.69808365755169e+01	6.01704487321946e+01
1.21122000000000e+06	3.68789569957814e+01	5.98719210067434e+01
1.22123000000000e+06	3.67775996117190e+01	5.95764354978353e+01
1.23124000000000e+06	3.66767587255461e+01	5.92839499721541e+01
1.24125000000000e+06	3.65764287624288e+01	5.89944230685372e+01
1.25126000000000e+06	3.64766042664581e+01	5.87078142687857e+01
1.26127000000000e+06	3.63772798968018e+01	5.84240838707692e+01
1.27128000000000e+06	3.62784504239553e+01	5.81431929611699e+01
1.28129000000000e+06	3.61801107261851e+01	5.78651033913214e+01
1.29130000000000e+06	3.60822557860618e+01	5.75897777525071e+01
1.30131000000000e+06	3.59848806871631e+01	5.73171793538123e+01
1.31132000000000e+06	3.58879806108498e+01	5.70472721993313e+01
1.32133000000000e+06	3.57915508332362e+01	5.67800209686593e+01
1.33134000000000e+06	3.56955867221857e+01	5.65153909954811e+01
1.34135000000000e+06	3.56000837344975e+01	5.62533482495873e+01
1.35136000000000e+06	3.55050374131540e+01	5.59938593181663e+01
1.36137000000000e+06	3.54104433846828e+01	5.57368913884515e+01
1.37138000000000e+06	3.53162973566073e+01	5.54824122306000e+01
1.38139000000000e+06	3.52225951150251e+01	5.52303901824487e+01
1.39140000000000e+06	3.51293325222137e+01	5.49807941328618e+01
1.40141000000000e+06	3.50365055144162e+01	5.47335935086540e+01
1.41142000000000e+06	3.49441100996123e+01	5.44887582589900e+01
1.42143000000000e+06	3.48521423554353e+01	5.42462588424956e+01
1.43144000000000e+06	3.47605984271392e+01	5.40060662138168e+01
1.44145000000000e+06	3.46694745256670e+01	5.37681518118062e+01
1.45146000000000e+06	3.45787669257320e+01	5.35324875462365e+01
1.46147000000000e+06	3.44884719640478e+01	5.32990457873668e+01
1.47148000000000e+06	3.43985860375548e+01	5.30677993539934e+01
1.48149000000000e+06	3.43091056017647e+01	5.28387215034353e+01
1.49150000000000e+06	3.42200271691127e+01	5.26117859203534e+01
1.50151000000000e+06	3.41313473074014e+01	5.23869667070217e+01
1.51152000000000e+06	3.40430626383110e+01	5.21642383740955e+01
1.52153000000000e+06	3.39551698359342e+01	5.19435758309455e+01
1.53154000000000e+06	3.38676656253769e+01	5.17249543768057e+01
1.54155000000000e+06	3.37805467814072e+01	5.15083496919660e+01
1.55156000000000e+06	3.36938101271569e+01	5.12937378296424e+01
1.56157000000000e+06	3.36074525328568e+01	5.10810952076135e+01
1.57158000000000e+06	3.35214709146427e+01	5.08703986008699e+01
1.58159000000000e+06	3.34358622333613e+01	5.06616251335028e+01
1.59160000000000e+06	3.33506234934529e+01	5.04547522715920e+01
1.60161000000000e+06	3.32657517418715e+01	5.02497578164671e+01
1.61162000000000e+06	3.31812440670083e+01	5.00466198971500e+01
1.62163000000000e+06	3.30970975977030e+01	4.98453169644288e+01
1.63164000000000e+06	3.30133095022398e+01	4.96458277839143e+01
1.64165000000000e+06	3.29298769874165e+01	4.94481314300420e+01
1.65166000000000e+06	3.28467972976139e+01	4.92522072797865e+01
1.66167000000000e+06	3.27640677139245e+01	4.90580350070345e+01
1.67168000000000e+06	3.26816855532918e+01	4.88655945767533e+01
1.68169000000000e+06	3.25996481676825e+01	4.86748662393743e+01
1.69170000000000e+06	3.25179529432843e+01	4.84858305253922e+01
1.70171000000000e+06	3.24365972997475e+01	4.82984682403557e+01
1.71172000000000e+06	3.23555786894124e+01	4.81127604592696e+01
1.72173000000000e+06	3.22748945966186e+01	4.79286885223149e+01
1.73174000000000e+06	3.21945425369843e+01	4.77462340295338e+01
1.74175000000000e+06	3.21145200567250e+01	4.75653788361005e+01
1.75176000000000e+06	3.20348247320207e+01	4.73861050481297e+01
1.76177000000000e+06	3.19554541683556e+01	4.72083950177204e+01
1.77178000000000e+06	3.18764059999241e+01	4.70322313390154e+01
1.78179000000000e+06	3.17976778890311e+01	4.68575968439215e+01
1.79180000000000e+06	3.17192675255049e+01	4.66844745976007e+01
1.80181000000000e+06	3.16411726261508e+01	4.65128478948887e+01
1.81182000000000e+06	3.15633909342109e+01	4.63427002562175e+01
1.82183000000000e+06	3.14859202188272e+01	4.61740154235898e+01
1.83184000000000e+06	3.14087582745466e+01	4.60067773571361e+01
1.84185000000000e+06	3.13319029208184e+01	4.58409702312018e+01
1.85186000000000e+06	3.12553520015148e+01	4.56765784307965e+01
1.86187000000000e+06	3.11791033844791e+01	4.55135865483712e+01
1.87188000000000e+06	3.11031549610631e+01	4.53519793801061e+01
1.88189000000000e+06	3.10275046456931e+01	4.51917419226699e+01
1.89190000000000e+06	3.09521503754462e+01	4.50328593699801e+01
1.90191000000000e+06	3.08770901096334e+01	4.48753171099122e+01
1.91192000000000e+06	3.08023218294088e+01	4.47191007213673e+01
1.92193000000000e+06	3.07278435373716e+01	4.45641959710694e+01
1.93194000000000e+06	3.06536532571874e+01	4.44105888104879e+01
1.94195000000000e+06	3.05797490332350e+01	4.42582653733356e+01
1.95196000000000e+06	3.05061289302204e+01	4.41072119719547e+01
1.96197000000000e+06	3.04327910328625e+01	4.39574150953440e+01
1.97198000000000e+06	3.03597334455276e+01	4.38088614057722e+01
1.98199000000000e+06	3.02869542919177e+01	4.36615377364059e+01
1.99200000000000e+06	3.02144517147405e+01	4.35154310885673e+01
2.00201000000000e+06	3.01422238754062e+01	4.33705286292388e+01
2.01202000000000e+06	3.00702689537097e+01	4.32268176882587e+01
2.02203000000000e+06	2.99985851475561e+01	4.30842857562739e+01
2.03204000000000e+06	2.99271706726479e+01	4.29429204817923e+01
2.04205000000000e+06	2.98560237622282e+01	4.28027096692710e+01
2.05206000000000e+06	2.97851426667873e+01	4.26636412763756e+01
2.06207000000000e+06	2.97145256538149e+01	4.25257034120061e+01
2.07208000000000e+06	2.96441710075146e+01	4.23888843336198e+01
2.08209000000000e+06	2.95740770285835e+01	4.22531724455983e+01
2.09210000000000e+06	2.95042420339336e+01	4.21185562964705e+01
2.10211000000000e+06	2.94346643564711e+01	4.19850245771983e+01
2.11212000000000e+06	2.93653423448509e+01	4.18525661188897e+01
2.12213000000000e+06	2.92962743632470e+01	4.17211698907028e+01
2.13214000000000e+06	2.92274587911370e+01	4.15908249980408e+01
2.14215000000000e+06	2.91588940230690e+01	4.14615206803394e+01
2.15216000000000e+06	2.90905784684568e+01	4.13332463091877e+01
2.16217000000000e+06	2.90225105513675e+01	4.12059913864225e+01
2.17218000000000e+06	2.89546887103199e+01	4.10797455423240e+01
2.18219000000000e+06	2.88871113980749e+01	4.09544985335508e+01
2.19220000000000e+06	2.88197770814552e+01	4.08302402416148e+01
2.20221000000000e+06	2.87526842411373e+01	4.07069606707631e+01
2.21222000000000e+06	2.86858313714818e+01	4.05846499466080e+01
2.22223000000000e+06	2.86192169803283e+01	4.04632983139203e+01
2.23224000000000e+06	2.85528395888429e+01	4.03428961354867e+01
2.24225000000000e+06	2.84866977313133e+01	4.02234338898510e+01
2.25226000000000e+06	2.84207899550109e+01	4.01049021703560e+01
2.26227000000000e+06	2.83551148199866e+01	3.99872916827762e+01
2.27228000000000e+06	2.82896708989319e+01	3.98705932443310e+01
2.28229000000000e+06	2.82244567770119e+01	3.97547977818872e+01
2.29230000000000e+06	2.81594710516971e+01	3.96398963303599e+01
2.30231000000000e+06	2.80947123326201e+01	3.95258800313585e+01
2.31232000000000e+06	2.80301792414150e+01	3.94127401315049e+01
2.32233000000000e+06	2.79658704115797e+01	3.93004679813223e+01
2.33234000000000e+06	2.79017844883116e+01	3.91890550332582e+01
2.34235000000000e+06	2.78379201283906e+01	3.90784928410057e+01
2.35236000000000e+06	2.77742760000070e+01	3.89687730572732e+01
2.36237000000000e+06	2.77108507826501e+01	3.88598874330995e+01
2.37238000000000e+06	2.76476431669603e+01	3.87518278161910e+01
2.38239000000000e+06	2.75846518545953e+01	3.86445861496150e+01
2.39240000000000e+06	2.75218755581041e+01	3.85381544705013e+01
2.40241000000000e+06	2.74593130008019e+01	3.84325249089737e+01
2.41242000000000e+06	2.73969629166339e+01	3.83276896865167e+01
2.42243000000000e+06	2.73348240500566e+01	3.82236411149523e+01
2.43244000000000e+06	2.72728951559248e+01	3.81203715952702e+01
2.44245000000000e+06	2.72111749993564e+01	3.80178736162648e+01
2.45246000000000e+06	2.71496623556294e+01	3.79161397534571e+01
2.46247000000000e+06	2.70883560100588e+01	3.78151626678608e+01
2.47248000000000e+06	2.70272547578840e+01	3.77149351049222e+01
2.48249000000000e+06	2.69663574041629e+01	3.76154498933055e+01
2.49250000000000e+06	2.69056627636567e+01	3.75166999438783e+01
2.50251000000000e+06	2.68451696607166e+01	3.74186782483167e+01
2.51252000000000e+06	2.67848769291962e+01	3.73213778785378e+01
2.52253000000000e+06	2.67247834123281e+01	3.72247919851699e+01
2.53254000000000e+06	2.66648879626330e+01	3.71289137967612e+01
2.54255000000000e+06	2.66051894418110e+01	3.70337366186204e+01
2.55256000000000e+06	2.65456867206546e+01	3.69392538319627e+01
2.56257000000000e+06	2.64863786789290e+01	3.68454588926021e+01
2.57258000000000e+06	2.64272642053034e+01	3.67523453303985e+01
2.58259000000000e+06	2.63683421972287e+01	3.66599067478116e+01
2.59260000000000e+06	2.63096115608697e+01	3.65681368194003e+01
2.60261000000000e+06	2.62510712109939e+01	3.64770292905666e+01
2.61262000000000e+06	2.61927200708909e+01	3.63865779767549e+01
2.62263000000000e+06	2.61345570722774e+01	3.62967767624450e+01
2.63264000000000e+06	2.60765811552120e+01	3.62076196003437e+01
2.64265000000000e+06	2.60187912680165e+01	3.61191005106167e+01
2.65266000000000e+06	2.59611863671717e+01	3.60312135796262e+01
2.66267000000000e+06	2.59037654172506e+01	3.59439529594580e+01
2.67268000000000e+06	2.58465273908350e+01	3.58573128670281e+01
2.68269000000000e+06	2.57894712684102e+01	3.57712875827881e+01
2.69270000000000e+06	2.57325960383236e+01	3.56858714507131e+01
2.70271000000000e+06	2.56759006966736e+01	3.56010588767850e+01
2.71272000000000e+06	2.56193842472391e+01	3.55168443284129e+01
2.72273000000000e+06	2.55630457014082e+01	3.54332223337890e+01
2.73274000000000e+06	2.55068840781020e+01	3.53501874809860e+01
2.74275000000000e+06	2.54508984036938e+01	3.52677344172156e+01
2.75276000000000e+06	2.53950877119329e+01	3.51858578479768e+01
2.76277000000000e+06	2.53394510438813e+01	3.51045525364723e+01
2.77278000000000e+06	2.52839874478394e+01	3.50238133029129e+01
2.78279000000000e+06	2.52286959792591e+01	3.49436350234191e+01
2.79280000000000e+06	2.51735757007022e+01	3.48640126298992e+01
2.80281000000000e+06	2.51186256817409e+01	3.47849411087591e+01
2.81282000000000e+06	2.50638449989140e+01	3.47064155006999e+01
2.82283000000000e+06	2.50092327356412e+01	3.46284308996352e+01
2.83284000000000e+06	2.49547879821686e+01	3.45509824523491e+01
2.84285000000000e+06	2.49005098354986e+01	3.44740653575917e+01
2.85286000000000e+06	2.48463973993215e+01	3.43976748655834e+01
2.86287000000000e+06	2.47924497839578e+01	3.43218062772837e+01
2.87288000000000e+06	2.47386661062917e+01	3.42464549438084e+01
2.88289000000000e+06	2.46850454897045e+01	3.41716162657233e+01
2.89290000000000e+06	2.46315870640232e+01	3.40972856926165e+01
2.90291000000000e+06	2.45782899654482e+01	3.40234587222253e+01
2.91292000000000e+06	2.45251533365016e+01	3.39501309000621e+01
2.92293000000000e+06	2.44721763259609e+01	3.38772978186661e+01
2.93294000000000e+06	2.44193580888067e+01	3.38049551171783e+01
2.94295000000000e+06	2.43666977861583e+01	3.37330984805853e+01
2.95296000000000e+06	2.43141945852241e+01	3.36617236393369e+01
2.96297000000000e+06	2.42618476592378e+01	3.35908263686815e+01
2.97298000000000e+06	2.42096561874015e+01	3.35204024880417e+01
2.98299000000000e+06	2.41576193548448e+01	3.34504478607788e+01
2.99300000000000e+06	2.41057363525454e+01	3.33809583931970e+01
3.00301000000000e+06	2.40540063772992e+01	3.33119300344266e+01
3.01302000000000e+06	2.40024286316494e+01	3.32433587756342e+01
3.02303000000000e+06	2.39510023238511e+01	3.31752406497780e+01
3.03304000000000e+06	2.38997266677993e+01	3.31075717307969e+01
3.04305000000000e+06	2.38486008829931e+01	3.30403481333159e+01
3.05306000000000e+06	2.37976241944739e+01	3.29735660120521e+01
3.06307000000000e+06	2.37467958327841e+01	3.29072215614061e+01
3.07308000000000e+06	2.36961150339122e+01	3.28413110149699e+01
3.08309000000000e+06	2.36455810392456e+01	3.27758306450424e+01
3.09310000000000e+06	2.35951930955181e+01	3.27107767620686e+01
3.10311000000000e+06	2.35449504547686e+01	3.26461457144093e+01
3.11312000000000e+06	2.34948523742852e+01	3.25819338875764e+01
3.12313000000000e+06	2.34448981165655e+01	3.25181377040860e+01
3.13314000000000e+06	2.33950869492703e+01	3.24547536229577e+01
3.14315000000000e+06	2.33454181451699e+01	3.23917781390309e+01
3.15316000000000e+06	2.32958909821011e+01	3.23292077827734e+01
3.16317000000000e+06	2.32465047429322e+01	3.22670391199305e+01
3.17318000000000e+06	2.31972587155066e+01	3.22052687508484e+01
3.18319000000000e+06	2.31481521926005e+01	3.21438933102040e+01
3.19320000000000e+06	2.30991844718871e+01	3.20829094666580e+01
3.20321000000000e+06	2.30503548558863e+01	3.20223139224069e+01
3.21322000000000e+06	2.30016626519252e+01	3.19621034127084e+01
3.22323000000000e+06	2.29531071720921e+01	3.19022747055037e+01
3.23324000000000e+06	2.29046877332026e+01	3.18428246012283e+01
3.24325000000000e+06	2.28564036567479e+01	3.17837499321347e+01
3.25326000000000e+06	2.28082542688679e+01	3.17250475622504e+01
3.26327000000000e+06	2.27602389002948e+01	3.16667143866439e+01
3.27328000000000e+06	2.27123568863282e+01	3.16087473314019e+01
3.28329000000000e+06	2.26646075667857e+01	3.15511433530427e+01
3.29330000000000e+06	2.26169902859617e+01	3.14938994381413e+01
3.30331000000000e+06	2.25695043926068e+01	3.14370126032821e+01
3.31332000000000e+06	2.25221492398681e+01	3.13804798943767e+01
3.32333000000000e+06	2.24749241852618e+01	3.13242983865245e+01
3.33334000000000e+06	2.24278285906331e+01	3.12684651834465e+01
3.34335000000000e+06	2.23808618221238e+01	3.12129774174938e+01
3.35336000000000e+06	2.23340232501312e+01	3.11578322490784e+01
3.36337000000000e+06	2.22873122492680e+01	3.11030268663187e+01
3.37338000000000e+06	2.22407281983375e+01	3.10485584849390e+01
3.38339000000000e+06	2.21942704802924e+01	3.09944243477919e+01
3.39340000000000e+06	2.21479384821940e+01	3.09406217245793e+01
3.40341000000000e+06	2.21017315951885e+01	3.08871479115482e+01
3.41342000000000e+06	2.20556492144609e+01	3.08340002311553e+01
3.42343000000000e+06	2.20096907392121e+01	3.07811760318872e+01
3.43344000000000e+06	2.19638555726185e+01	3.07286726878789e+01
3.44345000000000e+06	2.19181431217976e+01	3.06764875984775e+01
3.45346000000000e+06	2.18725527977803e+01	3.06246181883133e+01
3.46347000000000e+06	2.18270840154753e+01	3.05730619067011e+01
3.47348000000000e+06	2.17817361936374e+01	3.05218162275073e+01
3.48349000000000e+06	2.17365087548326e+01	3.04708786488019e+01
3.49350000000000e+06	2.16914011254102e+01	3.04202466926176e+01
3.50351000000000e+06	2.16464127354727e+01	3.03699179047533e+01
3.51352000000000e+06	2.16015430188369e+01	3.03198898543847e+01
3.52353000000000e+06	2.15567914130125e+01	3.02701601338652e+01
3.53354000000000e+06	2.15121573591650e+01	3.02207263584669e+01
3.54355000000000e+06	2.14676403020910e+01	3.01715861661053e+01
3.55356000000000e+06	2.14232396901837e+01	3.01227372171896e+01
3.56357000000000e+06	2.13789549754073e+01	3.00741771941694e+01
3.57358000000000e+06	2.13347856132598e+01	3.00259038014441e+01
3.58359000000000e+06	2.12907310627570e+01	2.99779147651180e+01
3.59360000000000e+06	2.12467907863920e+01	2.99302078326622e+01
3.60361000000000e+06	2.12029642501148e+01	2.98827807728581e+01
3.61362000000000e+06	2.11592509232980e+01	2.98356313752838e+01
3.62363000000000e+06	2.11156502787166e+01	2.97887574504544e+01
3.63364000000000e+06	2.10721617925076e+01	2.97421568291655e+01
3.64365000000000e+06	2.10287849441602e+01	2.96958273626567e+01
3.65366000000000e+06	2.09855192164730e+01	2.96497669221424e+01
3.66367000000000e+06	2.09423640955357e+01	2.96039733987215e+01
3.67368000000000e+06	2.08993190707040e+01	2.95584447031106e+01
3.68369000000000e+06	2.08563836345683e+01	2.95131787654619e+01
3.69370000000000e+06	2.08135572829229e+01	2.94681735349964e+01
3.70371000000000e+06	2.07708395147570e+01	2.94234269800963e+01
3.71372000000000e+06	2.07282298322137e+01	2.93789370878480e+01
3.72373000000000e+06	2.06857277405707e+01	2.93347018639167e+01
3.73374000000000e+06	2.06433327482149e+01	2.92907193323655e+01
3.74375000000000e+06	2.06010443666184e+01	2.92469875354376e+01
3.75376000000000e+06	2.05588621103145e+01	2.92035045333904e+01
3.76377000000000e+06	2.05167854968665e+01	2.91602684042074e+01
3.77378000000000e+06	2.04748140468563e+01	2.91172772435776e+01
3.78379000000000e+06	2.04329472838492e+01	2.90745291645474e+01
3.79380000000000e+06	2.03911847343789e+01	2.90320222974367e+01
3.80381000000000e+06	2.03495259279111e+01	2.89897547894897e+01
3.81382000000000e+06	2.03079703968407e+01	2.89477248050266e+01
3.82383000000000e+06	2.02665176764481e+01	2.89059305248663e+01
3.83384000000000e+06	2.02251673048918e+01	2.88643701464356e+01
3.84385000000000e+06	2.01839188231789e+01	2.88230418835308e+01
3.85386000000000e+06	2.01427717751391e+01	2.87819439659604e+01
3.86387000000000e+06	2.01017257074117e+01	2.87410746396697e+01
3.87388000000000e+06	2.00607801694231e+01	2.87004321664316e+01
3.88389000000000e+06	2.00199347133523e+01	2.86600148235846e+01
3.89390000000000e+06	1.99791888941245e+01	2.86198209039826e+01
3.90391000000000e+06	1.99385422693848e+01	2.85798487158805e+01
3.91392000000000e+06	1.98979943994739e+01	2.85400965826459e+01
3.92393000000000e+06	1.98575448474098e+01	2.85005628426828e+01
3.93394000000000e+06	1.98171931788704e+01	2.84612458492463e+01
3.94395000000000e+06	1.97769389621641e+01	2.84221439702635e+01
3.95396000000000e+06	1.97367817682217e+01	2.83832555882769e+01
3.96397000000000e+06	1.96967211705636e+01	2.83445791001706e+01
3.97398000000000e+06	1.96567567452904e+01	2.83061129170903e+01
3.98399000000000e+06	1.96168880710575e+01	2.82678554643062e+01
3.99400000000000e+06	1.95771147290567e+01	2.82298051809957e+01
4.00401000000000e+06	1.95374363029971e+01	2.81919605201985e+01
4.01402000000000e+06	1.94978523790879e+01	2.81543199486276e+01
4.02403000000000e+06	1.94583625460158e+01	2.81168819465131e+01
4.03404000000000e+06	1.94189663949261e+01	2.80796450074287e+01
4.04405000000000e+06	1.93796635194089e+01	2.80426076382584e+01
4.05406000000000e+06	1.93404535154765e+01	2.80057683589739e+01
4.06407000000000e+06	1.93013359815449e+01	2.79691257025632e+01
4.07408000000000e+06	1.92623105184210e+01	2.79326782148773e+01
4.08409000000000e+06	1.92233767292753e+01	2.78964244544262e+01
4.09410000000000e+06	1.91845342196320e+01	2.78603629923583e+01
4.10411000000000e+06	1.91457825973475e+01	2.78244924122487e+01
4.11412000000000e+06	1.91071214725964e+01	2.77888113100746e+01
4.12413000000000e+06	1.90685504578490e+01	2.77533182939460e+01
4.13414000000000e+06	1.90300691678602e+01	2.77180119841786e+01
4.14415000000000e+06	1.89916772196469e+01	2.76828910129409e+01
4.15416000000000e+06	1.89533742324713e+01	2.76479540242649e+01
4.16417000000000e+06	1.89151598278326e+01	2.76131996739889e+01
4.17418000000000e+06	1.88770336294408e+01	2.75786266295092e+01
4.18419000000000e+06	1.88389952632021e+01	2.75442335697065e+01
4.19420000000000e+06	1.88010443572056e+01	2.75100191848528e+01
4.20421000000000e+06	1.87631805417073e+01	2.74759821765000e+01
4.21422000000000e+06	1.87254034491125e+01	2.74421212573834e+01
4.22423000000000e+06	1.86877127139574e+01	2.74084351511782e+01
