Freq.	Vvo)
3.23593656929628e+00	-1.00408397741206e+02	-1.79956155254828e+02
3.31131121482591e+00	-1.00408397625463e+02	-1.79955133979908e+02
3.38844156139202e+00	-1.00408397504078e+02	-1.79954088916469e+02
3.46736850452531e+00	-1.00408397377141e+02	-1.79953019510404e+02
3.54813389233575e+00	-1.00408397244243e+02	-1.79951925194703e+02
3.63078054770101e+00	-1.00408397104901e+02	-1.79950805389151e+02
3.71535229097172e+00	-1.00408396959165e+02	-1.79949659500013e+02
3.80189396320560e+00	-1.00408396806339e+02	-1.79948486919729e+02
3.89045144994280e+00	-1.00408396646138e+02	-1.79947287026585e+02
3.98107170553496e+00	-1.00408396478994e+02	-1.79946059184381e+02
4.07380277804112e+00	-1.00408396303673e+02	-1.79944802742108e+02
4.16869383470335e+00	-1.00408396122038e+02	-1.79943517033575e+02
4.26579518801592e+00	-1.00408395929825e+02	-1.79942201377111e+02
4.36515832240165e+00	-1.00408395976343e+02	-1.79940855073418e+02
4.46683592150962e+00	-1.00408395763421e+02	-1.79939477412076e+02
4.57088189614874e+00	-1.00408395542707e+02	-1.79938067660932e+02
4.67735141287197e+00	-1.00408395311624e+02	-1.79936625072540e+02
4.78630092322637e+00	-1.00408395069161e+02	-1.79935148882030e+02
4.89778819368445e+00	-1.00408394820144e+02	-1.79933638306673e+02
5.01187233627271e+00	-1.00408394554778e+02	-1.79932092545621e+02
5.12861383991364e+00	-1.00408394276920e+02	-1.79930510779265e+02
5.24807460249771e+00	-1.00408393484195e+02	-1.79928892173114e+02
5.37031796370252e+00	-1.00408393179315e+02	-1.79927235860724e+02
5.49540873857623e+00	-1.00408392860880e+02	-1.79925540967974e+02
5.62341325190348e+00	-1.00408392526523e+02	-1.79923806596237e+02
5.75439937337156e+00	-1.00408392176707e+02	-1.79922031825926e+02
5.88843655355588e+00	-1.00408391816869e+02	-1.79920215715992e+02
6.02559586074356e+00	-1.00408391923804e+02	-1.79918357298957e+02
6.16595001861481e+00	-1.00408391524418e+02	-1.79916455598658e+02
6.30957344480192e+00	-1.00408391104159e+02	-1.79914509602269e+02
6.45654229034654e+00	-1.00408390658961e+02	-1.79912518278047e+02
6.60693448007594e+00	-1.00408390199797e+02	-1.79910480570063e+02
6.76082975391980e+00	-1.00408389719270e+02	-1.79908395397981e+02
6.91830970918935e+00	-1.00408389213541e+02	-1.79906261656266e+02
7.07945784384136e+00	-1.00408388683968e+02	-1.79904078213577e+02
7.24435960074988e+00	-1.00408387875456e+02	-1.79901843915163e+02
7.41310241300916e+00	-1.00408387544653e+02	-1.79899557567698e+02
7.58577575029182e+00	-1.00408386439390e+02	-1.79897217973584e+02
7.76247116628690e+00	-1.00408386050461e+02	-1.79894823874635e+02
7.94328234724279e+00	-1.00408385635866e+02	-1.79892374010195e+02
8.12830516164097e+00	-1.00408384940018e+02	-1.79889867084611e+02
8.31763771102669e+00	-1.00408384204790e+02	-1.79887301765726e+02
8.51138038202374e+00	-1.00408383443734e+02	-1.79884676693219e+02
8.70963589956078e+00	-1.00408382642415e+02	-1.79881990475450e+02
8.91250938133743e+00	-1.00408381805430e+02	-1.79879241688112e+02
9.12010839355907e+00	-1.00408380679307e+02	-1.79876428877444e+02
9.33254300796988e+00	-1.00408379758854e+02	-1.79873550545013e+02
9.54992586021433e+00	-1.00408378795054e+02	-1.79870605168234e+02
9.77237220955808e+00	-1.00408378038278e+02	-1.79867591181580e+02
9.99999999999997e+00	-1.00408376981689e+02	-1.79864506994783e+02
1.02329299228075e+01	-1.00408375375902e+02	-1.79861350976917e+02
1.04712854805090e+01	-1.00408374712469e+02	-1.79858121430465e+02
1.07151930523760e+01	-1.00408373499840e+02	-1.79854816667305e+02
1.09647819614318e+01	-1.00408372233597e+02	-1.79851434927210e+02
1.12201845430196e+01	-1.00408370655989e+02	-1.79847974421756e+02
1.14815362149688e+01	-1.00408369259094e+02	-1.79844433307538e+02
1.17489755493953e+01	-1.00408368050599e+02	-1.79840809706617e+02
1.20226443461741e+01	-1.00408366527721e+02	-1.79837101707009e+02
1.23026877081238e+01	-1.00408364429473e+02	-1.79833307348146e+02
1.25892541179416e+01	-1.00408362754564e+02	-1.79829424599027e+02
1.28824955169313e+01	-1.00408360999535e+02	-1.79825451410627e+02
1.31825673855640e+01	-1.00408359417213e+02	-1.79821385671099e+02
1.34896288259165e+01	-1.00408357984282e+02	-1.79817225224930e+02
1.38038426460288e+01	-1.00408355969211e+02	-1.79812967881922e+02
1.41253754462275e+01	-1.00408353615859e+02	-1.79808611380136e+02
1.44543977074592e+01	-1.00408351651820e+02	-1.79804153393496e+02
1.47910838816820e+01	-1.00408349346756e+02	-1.79799591574765e+02
1.51356124843620e+01	-1.00408346676990e+02	-1.79794923506250e+02
1.54881661891248e+01	-1.00408344390053e+02	-1.79790146695072e+02
1.58489319246111e+01	-1.00408340993309e+02	-1.79785258645266e+02
1.62181009735892e+01	-1.00408338966122e+02	-1.79780256703251e+02
1.65958690743755e+01	-1.00408335307396e+02	-1.79775138293338e+02
1.69824365246174e+01	-1.00408332510391e+02	-1.79769900637450e+02
1.73780082874937e+01	-1.00408329074044e+02	-1.79764540998158e+02
1.77827941003892e+01	-1.00408325980564e+02	-1.79759056507137e+02
1.81970085860998e+01	-1.00408322734453e+02	-1.79753444269947e+02
1.86208713666286e+01	-1.00408318574208e+02	-1.79747701333547e+02
1.90546071796324e+01	-1.00408315445787e+02	-1.79741824595915e+02
1.94984459975804e+01	-1.00408311429467e+02	-1.79735810998179e+02
1.99526231496887e+01	-1.00408306728095e+02	-1.79729657347152e+02
2.04173794466952e+01	-1.00408302330433e+02	-1.79723360349435e+02
2.08929613085403e+01	-1.00408298220343e+02	-1.79716916665969e+02
2.13796208950222e+01	-1.00408293393869e+02	-1.79710322913388e+02
2.18776162394954e+01	-1.00408287837764e+02	-1.79703575597518e+02
2.23872113856833e+01	-1.00408282544845e+02	-1.79696671107166e+02
2.29086765276776e+01	-1.00408277252472e+02	-1.79689605790151e+02
2.34422881531991e+01	-1.00408270879621e+02	-1.79682375940220e+02
2.39883291901948e+01	-1.00408264800832e+02	-1.79674977674334e+02
2.45470891568502e+01	-1.00408258684424e+02	-1.79667407081665e+02
2.51188643150957e+01	-1.00408252022743e+02	-1.79659660168189e+02
2.57039578276885e+01	-1.00408244302335e+02	-1.79651732848468e+02
2.63026799189537e+01	-1.00408236993657e+02	-1.79643620860681e+02
2.69153480392690e+01	-1.00408229831852e+02	-1.79635319913508e+02
2.75422870333815e+01	-1.00408221574496e+02	-1.79626825659071e+02
2.81838293126444e+01	-1.00408213678298e+02	-1.79618133531392e+02
2.88403150312659e+01	-1.00408204649959e+02	-1.79609238988476e+02
2.95120922666637e+01	-1.00408196539178e+02	-1.79600137221437e+02
3.01995172040200e+01	-1.00408186664014e+02	-1.79590823529425e+02
3.09029543251358e+01	-1.00408175829548e+02	-1.79581292939911e+02
3.16227766016837e+01	-1.00408165781071e+02	-1.79571540314863e+02
3.23593656929627e+01	-1.00408154723478e+02	-1.79561560571997e+02
3.31131121482590e+01	-1.00408142889999e+02	-1.79551348410545e+02
3.38844156139201e+01	-1.00408131016640e+02	-1.79540898378453e+02
3.46736850452530e+01	-1.00408118317912e+02	-1.79530204977469e+02
3.54813389233574e+01	-1.00408105264205e+02	-1.79519262513641e+02
3.63078054770100e+01	-1.00408091094589e+02	-1.79508065229366e+02
3.71535229097171e+01	-1.00408077221900e+02	-1.79496607107942e+02
3.80189396320559e+01	-1.00408061463874e+02	-1.79484882203381e+02
3.89045144994279e+01	-1.00408045728024e+02	-1.79472884188055e+02
3.98107170553495e+01	-1.00408028959084e+02	-1.79460606765727e+02
4.07380277804111e+01	-1.00408010443777e+02	-1.79448043476030e+02
4.16869383470333e+01	-1.00407992333125e+02	-1.79435187522046e+02
4.26579518801591e+01	-1.00407973110358e+02	-1.79422032186623e+02
4.36515832240164e+01	-1.00407952738140e+02	-1.79408570500799e+02
4.46683592150961e+01	-1.00407932412284e+02	-1.79394795246168e+02
4.57088189614873e+01	-1.00407909819575e+02	-1.79380699284356e+02
4.67735141287196e+01	-1.00407885970736e+02	-1.79366275076009e+02
4.78630092322636e+01	-1.00407862209038e+02	-1.79351514875620e+02
4.89778819368444e+01	-1.00407836830181e+02	-1.79336410986827e+02
5.01187233627270e+01	-1.00407811046183e+02	-1.79320955311347e+02
5.12861383991362e+01	-1.00407782245966e+02	-1.79305139866124e+02
5.24807460249770e+01	-1.00407753660210e+02	-1.79288956011153e+02
5.37031796370250e+01	-1.00407723660566e+02	-1.79272395299882e+02
5.49540873857622e+01	-1.00407691938763e+02	-1.79255448983547e+02
5.62341325190346e+01	-1.00407656984349e+02	-1.79238108218541e+02
5.75439937337154e+01	-1.00407622522245e+02	-1.79220363487269e+02
5.88843655355586e+01	-1.00407586116505e+02	-1.79202205601503e+02
6.02559586074355e+01	-1.00407548764807e+02	-1.79183624846818e+02
6.16595001861479e+01	-1.00407507623980e+02	-1.79164611650911e+02
6.30957344480190e+01	-1.00407465306403e+02	-1.79145155692229e+02
6.45654229034652e+01	-1.00407421274541e+02	-1.79125246713096e+02
6.60693448007593e+01	-1.00407375933665e+02	-1.79104874121688e+02
6.76082975391978e+01	-1.00407327901365e+02	-1.79084027267787e+02
6.91830970918933e+01	-1.00407275805282e+02	-1.79062695262003e+02
7.07945784384134e+01	-1.00407224516462e+02	-1.79040866271437e+02
7.24435960074986e+01	-1.00407168038544e+02	-1.79018529397076e+02
7.41310241300914e+01	-1.00407111190549e+02	-1.78995672262736e+02
7.58577575029180e+01	-1.00407049887092e+02	-1.78972283235085e+02
7.76247116628688e+01	-1.00406986617038e+02	-1.78948349634579e+02
7.94328234724277e+01	-1.00406919190424e+02	-1.78923859054393e+02
8.12830516164095e+01	-1.00406849146479e+02	-1.78898798336825e+02
8.31763771102667e+01	-1.00406776598062e+02	-1.78873154191882e+02
8.51138038202372e+01	-1.00406699082248e+02	-1.78846913365767e+02
8.70963589956076e+01	-1.00406619671635e+02	-1.78820061554836e+02
8.91250938133741e+01	-1.00406535949893e+02	-1.78792584867749e+02
9.12010839355905e+01	-1.00406447603448e+02	-1.78764468808991e+02
9.33254300796986e+01	-1.00406355297101e+02	-1.78735698403114e+02
9.54992586021431e+01	-1.00406259202569e+02	-1.78706258393781e+02
9.77237220955805e+01	-1.00406158602501e+02	-1.78676133304353e+02
9.99999999999995e+01	-1.00406052661563e+02	-1.78645307323301e+02
1.02329299228075e+02	-1.00405942337683e+02	-1.78613763989266e+02
1.04712854805089e+02	-1.00405826486616e+02	-1.78581486794265e+02
1.07151930523760e+02	-1.00405704123447e+02	-1.78548458831570e+02
1.09647819614318e+02	-1.00405578140932e+02	-1.78514662138311e+02
1.12201845430196e+02	-1.00405444447443e+02	-1.78480079538872e+02
1.14815362149688e+02	-1.00405306198264e+02	-1.78444692188635e+02
1.17489755493952e+02	-1.00405160115267e+02	-1.78408481961393e+02
1.20226443461741e+02	-1.00405007708454e+02	-1.78371429437947e+02
1.23026877081237e+02	-1.00404848036128e+02	-1.78333515203529e+02
1.25892541179416e+02	-1.00404680703847e+02	-1.78294719294398e+02
1.28824955169313e+02	-1.00404505340415e+02	-1.78255021280208e+02
1.31825673855640e+02	-1.00404322329702e+02	-1.78214400102629e+02
1.34896288259165e+02	-1.00404129445306e+02	-1.78172834762808e+02
1.38038426460288e+02	-1.00403928023868e+02	-1.78130303025530e+02
1.41253754462275e+02	-1.00403717788641e+02	-1.78086782476827e+02
1.44543977074592e+02	-1.00403497940574e+02	-1.78042250303654e+02
1.47910838816820e+02	-1.00403266388997e+02	-1.77996683474304e+02
1.51356124843620e+02	-1.00403024360406e+02	-1.77950057658382e+02
1.54881661891247e+02	-1.00402771279457e+02	-1.77902348377363e+02
1.58489319246110e+02	-1.00402505636744e+02	-1.77853530826477e+02
1.62181009735892e+02	-1.00402228249780e+02	-1.77803579048185e+02
1.65958690743755e+02	-1.00401938977468e+02	-1.77752466715684e+02
1.69824365246173e+02	-1.00401633583434e+02	-1.77700167991289e+02
1.73780082874936e+02	-1.00401315858985e+02	-1.77646654300835e+02
1.77827941003891e+02	-1.00400981207331e+02	-1.77591898693611e+02
1.81970085860997e+02	-1.00400631472799e+02	-1.77535871819533e+02
1.86208713666286e+02	-1.00400265151170e+02	-1.77478544594669e+02
1.90546071796323e+02	-1.00399883037846e+02	-1.77419886589098e+02
1.94984459975803e+02	-1.00399482482285e+02	-1.77359867709151e+02
1.99526231496887e+02	-1.00399062316184e+02	-1.77298456743209e+02
2.04173794466952e+02	-1.00398623126657e+02	-1.77235621206581e+02
2.08929613085403e+02	-1.00398162299728e+02	-1.77171328900074e+02
2.13796208950222e+02	-1.00397680692861e+02	-1.77105545752686e+02
2.18776162394954e+02	-1.00397175552054e+02	-1.77038238128344e+02
2.23872113856832e+02	-1.00396647635233e+02	-1.76969370420097e+02
2.29086765276776e+02	-1.00396094183020e+02	-1.76898907444983e+02
2.34422881531991e+02	-1.00395515579244e+02	-1.76826812094378e+02
2.39883291901947e+02	-1.00394909278751e+02	-1.76753047494880e+02
2.45470891568501e+02	-1.00394274331737e+02	-1.76677575348907e+02
2.51188643150956e+02	-1.00393609821165e+02	-1.76600356474610e+02
2.57039578276885e+02	-1.00392913995369e+02	-1.76521351132694e+02
2.63026799189536e+02	-1.00392185142407e+02	-1.76440518683886e+02
2.69153480392690e+02	-1.00391422534770e+02	-1.76357817159884e+02
2.75422870333815e+02	-1.00390624357961e+02	-1.76273204101248e+02
2.81838293126443e+02	-1.00389788449721e+02	-1.76186636258685e+02
2.88403150312659e+02	-1.00388913329722e+02	-1.76098069118275e+02
2.95120922666637e+02	-1.00387996940441e+02	-1.76007457433751e+02
3.01995172040200e+02	-1.00387037942748e+02	-1.75914754612724e+02
3.09029543251357e+02	-1.00386033929336e+02	-1.75819913532084e+02
3.16227766016836e+02	-1.00384982007079e+02	-1.75722886281007e+02
3.23593656929626e+02	-1.00383881577788e+02	-1.75623622735957e+02
3.31131121482589e+02	-1.00382729801591e+02	-1.75522072790863e+02
3.38844156139200e+02	-1.00381522723607e+02	-1.75418185850100e+02
3.46736850452529e+02	-1.00380260374789e+02	-1.75311908078447e+02
3.54813389233573e+02	-1.00378938843496e+02	-1.75203186580445e+02
3.63078054770099e+02	-1.00377555647276e+02	-1.75091966534062e+02
3.71535229097170e+02	-1.00376107571346e+02	-1.74978192346732e+02
3.80189396320558e+02	-1.00374591433807e+02	-1.74861807212830e+02
3.89045144994278e+02	-1.00373003694153e+02	-1.74742753330688e+02
3.98107170553494e+02	-1.00371343524808e+02	-1.74620969960485e+02
4.07380277804110e+02	-1.00369604338165e+02	-1.74496398668545e+02
4.16869383470332e+02	-1.00367784285549e+02	-1.74368976791030e+02
4.26579518801589e+02	-1.00365878724460e+02	-1.74238642138343e+02
4.36515832240163e+02	-1.00363886027371e+02	-1.74105329167016e+02
4.46683592150960e+02	-1.00361799308213e+02	-1.73968974556897e+02
4.57088189614872e+02	-1.00359615204673e+02	-1.73829511259785e+02
4.67735141287195e+02	-1.00357329108576e+02	-1.73686871702317e+02
4.78630092322635e+02	-1.00354938214658e+02	-1.73540985560872e+02
4.89778819368442e+02	-1.00352434060201e+02	-1.73391785349131e+02
5.01187233627268e+02	-1.00349813971914e+02	-1.73239197810301e+02
5.12861383991361e+02	-1.00347071973306e+02	-1.73083150749653e+02
5.24807460249769e+02	-1.00344202013026e+02	-1.72923570617590e+02
5.37031796370249e+02	-1.00341201322621e+02	-1.72760379635627e+02
5.49540873857620e+02	-1.00338059249905e+02	-1.72593505164067e+02
5.62341325190345e+02	-1.00334771196001e+02	-1.72422868037781e+02
5.75439937337152e+02	-1.00331332146731e+02	-1.72248387816867e+02
5.88843655355584e+02	-1.00327733563604e+02	-1.72069985707549e+02
6.02559586074353e+02	-1.00323968592032e+02	-1.71887579913298e+02
6.16595001861477e+02	-1.00320029790887e+02	-1.71701087660958e+02
6.30957344480188e+02	-1.00315908520072e+02	-1.71510425829481e+02
6.45654229034650e+02	-1.00311598518481e+02	-1.71315507409827e+02
6.60693448007591e+02	-1.00307087828815e+02	-1.71116249640335e+02
6.76082975391976e+02	-1.00302371262654e+02	-1.70912561308067e+02
6.91830970918931e+02	-1.00297436459588e+02	-1.70704357182113e+02
7.07945784384132e+02	-1.00292277283452e+02	-1.70491543836187e+02
7.24435960074984e+02	-1.00286879897268e+02	-1.70274034824858e+02
7.41310241300911e+02	-1.00281236200954e+02	-1.70051735866248e+02
7.58577575029177e+02	-1.00275334158155e+02	-1.69824555691765e+02
7.76247116628685e+02	-1.00269162036269e+02	-1.69592401323968e+02
7.94328234724275e+02	-1.00262708807463e+02	-1.69355177531329e+02
8.12830516164092e+02	-1.00255960456795e+02	-1.69112791435130e+02
8.31763771102664e+02	-1.00248907194590e+02	-1.68865143437634e+02
8.51138038202369e+02	-1.00241533240315e+02	-1.68612140345442e+02
8.70963589956073e+02	-1.00233824590026e+02	-1.68353685537560e+02
8.91250938133738e+02	-1.00225767413602e+02	-1.68089680949048e+02
9.12010839355902e+02	-1.00217346625578e+02	-1.67820029094397e+02
9.33254300796983e+02	-1.00208546443728e+02	-1.67544632432412e+02
9.54992586021428e+02	-1.00199350046049e+02	-1.67263394005633e+02
9.77237220955802e+02	-1.00189741388183e+02	-1.66976214791320e+02
9.99999999999991e+02	-1.00179702967814e+02	-1.66682997100258e+02
1.02329299228075e+03	-1.00169215572862e+02	-1.66383645269000e+02
1.04712854805089e+03	-1.00158261694762e+02	-1.66078060306266e+02
1.07151930523760e+03	-1.00146820040428e+02	-1.65766148906645e+02
1.09647819614318e+03	-1.00134872289953e+02	-1.65447812439731e+02
1.12201845430195e+03	-1.00122395623750e+02	-1.65122959699329e+02
1.14815362149687e+03	-1.00109369720588e+02	-1.64791495088761e+02
1.17489755493952e+03	-1.00095770358282e+02	-1.64453330049725e+02
1.20226443461740e+03	-1.00081577361036e+02	-1.64108368790496e+02
1.23026877081237e+03	-1.00066763541767e+02	-1.63756529024612e+02
1.25892541179416e+03	-1.00051306489331e+02	-1.63397720030692e+02
1.28824955169312e+03	-1.00035179019142e+02	-1.63031861161152e+02
1.31825673855640e+03	-1.00018356245254e+02	-1.62658868211216e+02
1.34896288259164e+03	-1.00000809626522e+02	-1.62278665712685e+02
1.38038426460287e+03	-9.99825107116917e+01	-1.61891179699514e+02
1.41253754462274e+03	-9.99634336103745e+01	-1.61496332238460e+02
1.44543977074591e+03	-9.99435440326511e+01	-1.61094066062168e+02
1.47910838816819e+03	-9.99228151767230e+01	-1.60684309523903e+02
1.51356124843619e+03	-9.99012149185039e+01	-1.60267005575957e+02
1.54881661891247e+03	-9.98787096060975e+01	-1.59842104016349e+02
1.58489319246110e+03	-9.98552682511091e+01	-1.59409551493270e+02
1.62181009735891e+03	-9.98308583738967e+01	-1.58969301685118e+02
1.65958690743754e+03	-9.98054438581186e+01	-1.58521321537651e+02
1.69824365246173e+03	-9.97789885732955e+01	-1.58065582786539e+02
1.73780082874936e+03	-9.97514576467741e+01	-1.57602058711841e+02
1.77827941003891e+03	-9.97228152965241e+01	-1.57130730090990e+02
1.81970085860997e+03	-9.96930242593980e+01	-1.56651587415297e+02
1.86208713666285e+03	-9.96620454678710e+01	-1.56164632633115e+02
1.90546071796323e+03	-9.96298412905029e+01	-1.55669870202150e+02
1.94984459975803e+03	-9.95963735911782e+01	-1.55167312994605e+02
1.99526231496886e+03	-9.95616017667770e+01	-1.54656989042011e+02
2.04173794466951e+03	-9.95254859009635e+01	-1.54138932542975e+02
2.08929613085402e+03	-9.94879874937301e+01	-1.53613181599492e+02
2.13796208950221e+03	-9.94490651145107e+01	-1.53079792897381e+02
2.18776162394953e+03	-9.94086773022819e+01	-1.52538833218948e+02
2.23872113856832e+03	-9.93667835582191e+01	-1.51990376374192e+02
2.29086765276775e+03	-9.93233441541444e+01	-1.51434504032670e+02
2.34422881531990e+03	-9.92783171288406e+01	-1.50871317184760e+02
2.39883291901947e+03	-9.92316627177880e+01	-1.50300920703096e+02
2.45470891568501e+03	-9.91833384214622e+01	-1.49723442332512e+02
2.51188643150955e+03	-9.91333064226343e+01	-1.49139004764558e+02
2.57039578276884e+03	-9.90815254452082e+01	-1.48547757640368e+02
2.63026799189535e+03	-9.90279551662010e+01	-1.47949861310890e+02
2.69153480392689e+03	-9.89725588355620e+01	-1.47345475824090e+02
2.75422870333814e+03	-9.89152966817748e+01	-1.46734789046880e+02
2.81838293126442e+03	-9.88561334447963e+01	-1.46117984952205e+02
2.88403150312658e+03	-9.87950312085044e+01	-1.45495275271146e+02
2.95120922666635e+03	-9.87319547242511e+01	-1.44866876585459e+02
3.01995172040198e+03	-9.86668713062281e+01	-1.44233010263778e+02
3.09029543251356e+03	-9.85997473612782e+01	-1.43593919213549e+02
3.16227766016835e+03	-9.85305513449611e+01	-1.42949854361425e+02
3.23593656929625e+03	-9.84592540948040e+01	-1.42301072655336e+02
3.31131121482588e+03	-9.83858263408611e+01	-1.41647850033777e+02
3.38844156139199e+03	-9.83102431043554e+01	-1.40990458395441e+02
3.46736850452528e+03	-9.82324781766183e+01	-1.40329194972032e+02
3.54813389233572e+03	-9.81525106506265e+01	-1.39664346709592e+02
3.63078054770097e+03	-9.80703179202857e+01	-1.38996229028452e+02
3.71535229097168e+03	-9.79858824301445e+01	-1.38325147488398e+02
3.80189396320557e+03	-9.78991870551669e+01	-1.37651423879765e+02
3.89045144994276e+03	-9.78102185203430e+01	-1.36975375534163e+02
3.98107170553493e+03	-9.77189642305604e+01	-1.36297334104290e+02
4.07380277804108e+03	-9.76254137826565e+01	-1.35617636281203e+02
4.16869383470331e+03	-9.75295610824013e+01	-1.34936608823305e+02
4.26579518801588e+03	-9.74314009382523e+01	-1.34254590091006e+02
4.36515832240161e+03	-9.73309299487138e+01	-1.33571924078823e+02
4.46683592150958e+03	-9.72281497357572e+01	-1.32888936442469e+02
4.57088189614870e+03	-9.71230616201822e+01	-1.32205971256966e+02
4.67735141287193e+03	-9.70156701336619e+01	-1.31523365402504e+02
4.78630092322633e+03	-9.69059830180911e+01	-1.30841446683633e+02
4.89778819368441e+03	-9.67940089845859e+01	-1.30160550105098e+02
5.01187233627267e+03	-9.66797608795646e+01	-1.29480991633129e+02
5.12861383991359e+03	-9.65632524800626e+01	-1.28803092404275e+02
5.24807460249767e+03	-9.64444998319497e+01	-1.28127166970394e+02
5.37031796370247e+03	-9.63235211017575e+01	-1.27453523253563e+02
5.49540873857618e+03	-9.62003375260671e+01	-1.26782452258475e+02
5.62341325190343e+03	-9.60749705552261e+01	-1.26114252470921e+02
5.75439937337150e+03	-9.59474451690582e+01	-1.25449198175495e+02
5.88843655355582e+03	-9.58177873214606e+01	-1.24787561361823e+02
6.02559586074351e+03	-9.56860244238977e+01	-1.24129606167923e+02
6.16595001861475e+03	-9.55521865005960e+01	-1.23475575411089e+02
6.30957344480186e+03	-9.54163035391671e+01	-1.22825716188263e+02
6.45654229034648e+03	-9.52784084020792e+01	-1.22180248024304e+02
6.60693448007588e+03	-9.51385338978724e+01	-1.21539392339019e+02
6.76082975391974e+03	-9.49967147473847e+01	-1.20903349850324e+02
6.91830970918928e+03	-9.48529860299004e+01	-1.20272316357125e+02
7.07945784384129e+03	-9.47073845330054e+01	-1.19646465475569e+02
7.24435960074981e+03	-9.45599473068821e+01	-1.19025964148279e+02
7.41310241300908e+03	-9.44107121030060e+01	-1.18410966104144e+02
7.58577575029174e+03	-9.42597176026977e+01	-1.17801607325968e+02
7.76247116628682e+03	-9.41070018990244e+01	-1.17198024717002e+02
7.94328234724272e+03	-9.39526046560887e+01	-1.16600326010874e+02
8.12830516164089e+03	-9.37965649015377e+01	-1.16008618219818e+02
8.31763771102661e+03	-9.36389222502355e+01	-1.15422989536940e+02
8.51138038202366e+03	-9.34797159931088e+01	-1.14843521389000e+02
8.70963589956070e+03	-9.33189854365937e+01	-1.14270282289948e+02
8.91250938133734e+03	-9.31567703824810e+01	-1.13703318951038e+02
9.12010839355898e+03	-9.29931093055540e+01	-1.13142684179694e+02
9.33254300796979e+03	-9.28280411542009e+01	-1.12588407311170e+02
9.54992586021424e+03	-9.26616040466592e+01	-1.12040514610126e+02
