Freq.	V(n013)
1.73780082874938e+01	6.78542219520390e+01	1.35271117429827e+02
1.81970085860999e+01	6.76686097126810e+01	1.33822784982938e+02
1.90546071796326e+01	6.74735426337311e+01	1.32364475140042e+02
1.99526231496889e+01	6.72689592001014e+01	1.30898715786723e+02
2.08929613085405e+01	6.70548343657140e+01	1.29428039130389e+02
2.18776162394956e+01	6.68311792778137e+01	1.27954952516463e+02
2.29086765276778e+01	6.65980403336545e+01	1.26481909808946e+02
2.39883291901950e+01	6.63554975961977e+01	1.25011284085414e+02
2.51188643150959e+01	6.61036626155294e+01	1.23545342343501e+02
2.63026799189540e+01	6.58426757216666e+01	1.22086222831877e+02
2.75422870333818e+01	6.55727028713087e+01	1.20635915509561e+02
2.88403150312662e+01	6.52939321390082e+01	1.19196246015952e+02
3.01995172040203e+01	6.50065699521336e+01	1.17768863400242e+02
3.16227766016840e+01	6.47108371695676e+01	1.16355231728031e+02
3.31131121482593e+01	6.44069650992420e+01	1.14956625562120e+02
3.46736850452534e+01	6.40951915469025e+01	1.13574129201066e+02
3.63078054770103e+01	6.37757569764095e+01	1.12208639470432e+02
3.80189396320563e+01	6.34489008519467e+01	1.10860871789791e+02
3.98107170553500e+01	6.31148582198045e+01	1.09531369189621e+02
4.16869383470338e+01	6.27738565757572e+01	1.08220513922536e+02
4.36515832240169e+01	6.24261130543626e+01	1.06928541299175e+02
4.57088189614878e+01	6.20718319593839e+01	1.05655555393755e+02
4.78630092322641e+01	6.17112026560482e+01	1.04401546264655e+02
5.01187233627275e+01	6.13443978285213e+01	1.03166408375294e+02
5.24807460249776e+01	6.09715721069785e+01	1.01949959919788e+02
5.49540873857628e+01	6.05928610628141e+01	1.00751962791123e+02
5.75439937337161e+01	6.02083805679661e+01	9.95721429593036e+01
6.02559586074362e+01	5.98182265159882e+01	9.84102110462696e+01
6.30957344480197e+01	5.94224748985990e+01	9.72658829108530e+01
6.60693448007600e+01	5.90211822392779e+01	9.61389000531546e+01
6.91830970918941e+01	5.86143863777159e+01	9.50290496693882e+01
7.24435960074995e+01	5.82021076102523e+01	9.39361841593485e+01
7.58577575029189e+01	5.77843501832157e+01	9.28602398944184e+01
7.94328234724287e+01	5.73611041425617e+01	9.18012550163537e+01
8.31763771102677e+01	5.69323475381990e+01	9.07593860185160e+01
8.70963589956087e+01	5.64980489807708e+01	8.97349228230758e+01
9.12010839355916e+01	5.60581705410495e+01	8.87283020440627e+01
9.54992586021443e+01	5.56126709815003e+01	8.77401180765536e+01
1.00000000000001e+02	5.51615092941077e+01	8.67711316477509e+01
1.04712854805091e+02	5.47046485101981e+01	8.58222754444972e+01
1.09647819614319e+02	5.42420597416950e+01	8.48946564078019e+01
1.14815362149689e+02	5.37737263893885e+01	8.39895543359018e+01
1.20226443461742e+02	5.32996484481002e+01	8.31084164436751e+01
1.25892541179418e+02	5.28198468195473e+01	8.22528476034952e+01
1.31825673855642e+02	5.23343675335091e+01	8.14245960652424e+01
1.38038426460290e+02	5.18432857628997e+01	8.06255345792990e+01
1.44543977074594e+02	5.13467095145089e+01	7.98576369595160e+01
1.51356124843622e+02	5.08447828694283e+01	7.91229502899953e+01
1.58489319246113e+02	5.03376886486584e+01	7.84235631428415e+01
1.65958690743757e+02	4.98256503873402e+01	7.77615703329593e+01
1.73780082874939e+02	4.93089335108138e+01	7.71390349164489e+01
1.81970085861000e+02	4.87878456243668e+01	7.65579482876898e+01
1.90546071796326e+02	4.82627358541634e+01	7.60201893470502e+01
1.99526231496890e+02	4.77339932017990e+01	7.55274838248230e+01
2.08929613085406e+02	4.72020439066170e+01	7.50813649079604e+01
2.18776162394957e+02	4.66673478466863e+01	7.46831363037293e+01
2.29086765276779e+02	4.61303940401445e+01	7.43338388619626e+01
2.39883291901951e+02	4.55916953399869e+01	7.40342218073659e+01
2.51188643150960e+02	4.50517824502188e+01	7.37847194682697e+01
2.63026799189540e+02	4.45111974114163e+01	7.35854342641386e+01
2.75422870333819e+02	4.39704867266179e+01	7.34361264934620e+01
2.88403150312663e+02	4.34301943107341e+01	7.33362112535793e+01
3.01995172040204e+02	4.28908544537342e+01	7.32847625809003e+01
3.16227766016841e+02	4.23529849864184e+01	7.32805246657939e+01
3.31131121482594e+02	4.18170808293930e+01	7.33219297615851e+01
3.46736850452535e+02	4.12836080891776e+01	7.34071222085676e+01
3.63078054770105e+02	4.07529988476938e+01	7.35339877588993e+01
3.80189396320565e+02	4.02256467587371e+01	7.37001873038026e+01
3.98107170553501e+02	3.97019035397953e+01	7.39031939271146e+01
4.16869383470339e+02	3.91820764111762e+01	7.41403321793917e+01
4.36515832240170e+02	3.86664265019675e+01	7.44088184325445e+01
4.57088189614879e+02	3.81551682084144e+01	7.47058012100473e+01
4.78630092322643e+02	3.76484694605911e+01	7.50284004497808e+01
5.01187233627277e+02	3.71464528253161e+01	7.53737447807536e+01
5.24807460249777e+02	3.66491973531288e+01	7.57390060046269e+01
5.49540873857630e+02	3.61567410586606e+01	7.61214301737059e+01
5.75439937337162e+02	3.56690839153627e+01	7.65183647902228e+01
6.02559586074363e+02	3.51861912403083e+01	7.69272818450331e+01
6.30957344480199e+02	3.47079973460809e+01	7.73457965730633e+01
6.60693448007602e+02	3.42344093429177e+01	7.77716819526421e+01
6.91830970918943e+02	3.37653109839550e+01	7.82028791060152e+01
7.24435960074997e+02	3.33005664592940e+01	7.86375038691080e+01
7.58577575029191e+02	3.28400240594627e+01	7.90738498647590e+01
7.94328234724289e+02	3.23835196437068e+01	7.95103884872982e+01
8.31763771102679e+02	3.19308798644075e+01	7.99457662297636e+01
8.70963589956090e+02	3.14819251135684e+01	8.03787997878812e+01
9.12010839355919e+02	3.10364721706539e+01	8.08084693779814e+01
9.54992586021446e+02	3.05943365427777e+01	8.12339106792307e+01
1.00000000000001e+03	3.01553344982357e+01	8.16544057814990e+01
1.04712854805091e+03	2.97192848025095e+01	8.20693734735833e+01
1.09647819614320e+03	2.92860101719176e+01	8.24783591747473e+01
1.14815362149690e+03	2.88553384645740e+01	8.28810247593708e+01
1.20226443461743e+03	2.84271036315061e+01	8.32771384815690e+01
1.25892541179418e+03	2.80011464521138e+01	8.36665651739949e+01
1.31825673855642e+03	2.75773150789395e+01	8.40492568453793e+01
1.38038426460290e+03	2.71554654164675e+01	8.44252437749940e+01
1.44543977074594e+03	2.67354613575701e+01	8.47946261727729e+01
1.51356124843623e+03	2.63171749000526e+01	8.51575664451543e+01
1.58489319246113e+03	2.59004861638956e+01	8.55142820876810e+01
1.65958690743758e+03	2.54852833280167e+01	8.58650392099169e+01
1.73780082874940e+03	2.50714625034097e+01	8.62101466822653e+01
1.81970085861000e+03	2.46589275575956e+01	8.65499508854296e+01
1.90546071796327e+03	2.42475899034727e+01	8.68848310358569e+01
1.99526231496890e+03	2.38373682638499e+01	8.72151950536069e+01
2.08929613085406e+03	2.34281884214744e+01	8.75414759391889e+01
2.18776162394958e+03	2.30199829626801e+01	8.78641286172309e+01
2.29086765276780e+03	2.26126910217775e+01	8.81836272140298e+01
2.39883291901952e+03	2.22062580318024e+01	8.85004627239683e+01
2.51188643150961e+03	2.18006354866278e+01	8.88151410337854e+01
2.63026799189541e+03	2.13957807182559e+01	8.91281812618547e+01
2.75422870333820e+03	2.09916566926614e+01	8.94401143820924e+01
2.88403150312664e+03	2.05882318266828e+01	8.97514820968323e+01
3.01995172040205e+03	2.01854798282536e+01	9.00628359272562e+01
3.16227766016842e+03	1.97833795616019e+01	9.03747364923346e+01
3.31131121482595e+03	1.93819149388912e+01	9.06877529466764e+01
3.46736850452536e+03	1.89810748394511e+01	9.10024625524103e+01
3.63078054770106e+03	1.85808530575067e+01	9.13194503549815e+01
3.80189396320566e+03	1.81812482793479e+01	9.16393089459226e+01
3.98107170553502e+03	1.77822640904456e+01	9.19626382789228e+01
4.16869383470341e+03	1.73839090133059e+01	9.22900455231488e+01
4.36515832240172e+03	1.69861965764748e+01	9.26221449285716e+01
4.57088189614881e+03	1.65891454152513e+01	9.29595576768705e+01
4.78630092322645e+03	1.61927794044638e+01	9.33029116986869e+01
5.01187233627279e+03	1.57971278237381e+01	9.36528414291525e+01
5.24807460249780e+03	1.54022255554371e+01	9.40099874776378e+01
5.49540873857632e+03	1.50081133155753e+01	9.43749961847841e+01
5.75439937337165e+03	1.46148379175746e+01	9.47485190386372e+01
6.02559586074366e+03	1.42224525688076e+01	9.51312119191085e+01
6.30957344480202e+03	1.38310171994318e+01	9.55237341386776e+01
6.60693448007605e+03	1.34405988228569e+01	9.59267472445611e+01
6.91830970918946e+03	1.30512719266172e+01	9.63409135463117e+01
7.24435960075000e+03	1.26631188921331e+01	9.67668943286887e+01
7.58577575029194e+03	1.22762304410165e+01	9.72053477070903e+01
7.94328234724293e+03	1.18907061049083e+01	9.76569260815909e+01
8.31763771102683e+03	1.15066547152702e+01	9.81222731444712e+01
8.70963589956093e+03	1.11241949079121e+01	9.86020203885584e+01
9.12010839355923e+03	1.07434556364957e+01	9.90967830729664e+01
9.54992586021450e+03	1.03645766874371e+01	9.96071555894414e+01
1.00000000000001e+04	9.98770918738322e+00	1.00133706181903e+02
1.04712854805091e+04	9.61301609261062e+00	1.00676970977673e+02
1.09647819614320e+04	9.24067264789916e+00	1.01237447277652e+02
1.14815362149690e+04	8.87086680042960e+00	1.01815586073092e+02
1.20226443461743e+04	8.50379955195687e+00	1.02411783762950e+02
1.25892541179419e+04	8.13968523130842e+00	1.03026373049844e+02
1.31825673855643e+04	7.77875166556952e+00	1.03659613019418e+02
1.38038426460291e+04	7.42124022808616e+00	1.04311678413448e+02
1.44543977074595e+04	7.06740573888829e+00	1.04982648146283e+02
1.51356124843623e+04	6.71751619175625e+00	1.05672493130231e+02
1.58489319246114e+04	6.37185228258196e+00	1.06381063512198e+02
1.65958690743759e+04	6.03070671218883e+00	1.07108075453685e+02
1.73780082874940e+04	5.69438324030623e+00	1.07853097640329e+02
1.81970085861001e+04	5.36319546689903e+00	1.08615537731837e+02
1.90546071796328e+04	5.03746532465703e+00	1.09394629014329e+02
1.99526231496891e+04	4.71752126776516e+00	1.10189417555231e+02
2.08929613085407e+04	4.40369615303559e+00	1.10998750203274e+02
2.18776162394959e+04	4.09632481617967e+00	1.11821263797614e+02
2.29086765276781e+04	3.79574135634180e+00	1.12655375975869e+02
2.39883291901953e+04	3.50227615736061e+00	1.13499277982011e+02
2.51188643150962e+04	3.21625268103751e+00	1.14350929854136e+02
2.63026799189542e+04	2.93798408920417e+00	1.15208058359905e+02
2.75422870333821e+04	2.66776975601985e+00	1.16068157977812e+02
2.88403150312665e+04	2.40589175314857e+00	1.16928495176803e+02
3.01995172040206e+04	2.15261139181749e+00	1.17786116120660e+02
3.16227766016843e+04	1.90816592235034e+00	1.18637857843700e+02
3.31131121482596e+04	1.67276548846969e+00	1.19480362808405e+02
3.46736850452537e+04	1.44659043644237e+00	1.20310096587513e+02
3.63078054770107e+04	1.22978907725766e+00	1.21123368350245e+02
3.80189396320567e+04	1.02247598229991e+00	1.21916353610776e+02
3.98107170553504e+04	8.24730888903052e-01	1.22685118659160e+02
4.16869383470342e+04	6.36598264865874e-01	1.23425645951816e+02
4.36515832240173e+04	4.58087567111831e-01	1.24133859700365e+02
4.57088189614883e+04	2.89174204640234e-01	1.24805650856200e+02
4.78630092322646e+04	1.29801192148851e-01	1.25436900684948e+02
5.01187233627281e+04	-2.01185394460924e-02	1.26023502166805e+02
5.24807460249781e+04	-1.60699224550763e-01	1.26561378542735e+02
5.49540873857634e+04	-2.92078808023249e-01	1.27046498360720e+02
5.75439937337167e+04	-4.14415028665500e-01	1.27474886544283e+02
6.02559586074368e+04	-5.27881125480906e-01	1.27842631067443e+02
6.30957344480204e+04	-6.32661249536181e-01	1.28145884947361e+02
6.60693448007607e+04	-7.28945663004649e-01	1.28380863346770e+02
6.91830970918948e+04	-8.16925793468633e-01	1.28543835662339e+02
7.24435960075003e+04	-8.96789208656844e-01	1.28631112498047e+02
7.58577575029197e+04	-9.68714549445976e-01	1.28639027468628e+02
7.94328234724295e+04	-1.03286645899569e+00	1.28563913687743e+02
8.31763771102686e+04	-1.08939052071399e+00	1.28402074784916e+02
8.70963589956096e+04	-1.13840819723199e+00	1.28149750119131e+02
9.12010839355926e+04	-1.18001176943494e+00	1.27803073709986e+02
9.54992586021453e+04	-1.21425923777119e+00	1.27358026139780e+02
1.00000000000002e+05	-1.24116916159837e+00	1.26810378383051e+02
1.04712854805092e+05	-1.26071540055137e+00	1.26155626095076e+02
1.09647819614320e+05	-1.27282173880363e+00	1.25388912397036e+02
1.14815362149690e+05	-1.27735637692857e+00	1.24504936501004e+02
1.20226443461743e+05	-1.27412633568062e+00	1.23497844738304e+02
1.25892541179419e+05	-1.26287186012659e+00	1.22361099427106e+02
1.31825673855643e+05	-1.24326102539762e+00	1.21087319702999e+02
1.38038426460291e+05	-1.21488491503799e+00	1.19668086661666e+02
1.44543977074595e+05	-1.17725398963085e+00	1.18093702927160e+02
1.51356124843624e+05	-1.12979667884553e+00	1.16352893938634e+02
1.58489319246114e+05	-1.07186185821827e+00	1.14432434689702e+02
1.65958690743759e+05	-1.00272784820300e+00	1.12316681312936e+02
1.73780082874941e+05	-9.21622117022166e-01	1.09986981944709e+02
1.81970085861002e+05	-8.27758245751948e-01	1.07420936094485e+02
1.90546071796328e+05	-7.20400434953099e-01	1.04591467823132e+02
1.99526231496892e+05	-5.98971554566392e-01	1.01465678535189e+02
2.08929613085408e+05	-4.63229450332769e-01	9.80034573415108e+01
2.18776162394959e+05	-3.13549051465135e-01	9.41558654003803e+01
2.29086765276782e+05	-1.51365681960701e-01	8.98634044415468e+01
2.39883291901954e+05	2.01431607418479e-02	8.50544823547294e+01
2.51188643150963e+05	1.95041490338690e-01	7.96447901360816e+01
2.63026799189543e+05	3.63195230509961e-01	7.35390262460083e+01
2.75422870333822e+05	5.08410739039821e-01	6.66375228608644e+01
2.88403150312666e+05	6.06434625013941e-01	5.88515849004326e+01
3.01995172040208e+05	6.23701496748521e-01	5.01314758034465e+01
3.16227766016844e+05	5.18580449263753e-01	4.05069323987030e+01
3.31131121482598e+05	2.47251864388725e-01	3.01284266230761e+01
3.46736850452539e+05	-2.25363632533871e-01	1.92816679568542e+01
3.63078054770109e+05	-9.13616659274448e-01	8.34707114822097e+00
3.80189396320569e+05	-1.80548374830192e+00	-2.29124991262365e+00
3.98107170553505e+05	-2.86747144892044e+00	-1.23387504127235e+01
4.16869383470344e+05	-4.05639764532450e+00	-2.16356213259269e+01
4.36515832240175e+05	-5.33061487889309e+00	-3.01456928155939e+01
4.57088189614884e+05	-6.65630806773805e+00	-3.79160841430400e+01
4.78630092322648e+05	-8.00903301980756e+00	-4.50360228717995e+01
5.01187233627283e+05	-9.37259328563386e+00	-5.16078083918366e+01
5.24807460249783e+05	-1.07370686387070e+01	-5.77306305885539e+01
5.49540873857636e+05	-1.20969425218521e+01	-6.34934178537377e+01
5.75439937337169e+05	-1.34496451740223e+01	-6.89728234860864e+01
6.02559586074370e+05	-1.47945268985593e+01	-7.42336922008698e+01
6.30957344480207e+05	-1.61321755298059e+01	-7.93304930747833e+01
6.60693448007610e+05	-1.74639808619743e+01	-8.43089553100319e+01
6.91830970918951e+05	-1.87918663872085e+01	-8.92075636169533e+01
7.24435960075006e+05	-2.01181302609715e+01	-9.40587837029415e+01
7.58577575029200e+05	-2.14453550720024e+01	-9.88899884026558e+01
7.94328234724299e+05	-2.27763585032027e+01	-1.03724097821939e+02
8.31763771102689e+05	-2.41141651657088e+01	-1.08579963775708e+02
8.70963589956100e+05	-2.54619850469587e+01	-1.13472535744901e+02
9.12010839355930e+05	-2.68231872655743e+01	-1.18412850911117e+02
9.54992586021457e+05	-2.82012601524912e+01	-1.23407898003509e+02
1.00000000000000e+06	-2.95997508757240e+01	-1.28460414559128e+02
