Freq.	V(vf)
9.12010839355913e+00	4.82905583726924e+01	1.72826548100956e+02
9.54992586021439e+00	4.82840282904745e+01	1.72492238871114e+02
1.00000000000000e+01	4.82768794643585e+01	1.72142725193486e+02
1.04712854805090e+01	4.82690544348367e+01	1.71777369997448e+02
1.09647819614319e+01	4.82604906346365e+01	1.71395517444477e+02
1.14815362149689e+01	4.82511199830755e+01	1.70996493577399e+02
1.20226443461742e+01	4.82408684539393e+01	1.70579607198215e+02
1.25892541179417e+01	4.82296556196639e+01	1.70144151004777e+02
1.31825673855641e+01	4.82173941743319e+01	1.69689403019639e+02
1.38038426460289e+01	4.82039894368979e+01	1.69214628348807e+02
1.44543977074593e+01	4.81893388338322e+01	1.68719081314817e+02
1.51356124843621e+01	4.81733313692256e+01	1.68202008001635e+02
1.58489319246112e+01	4.81558470832198e+01	1.67662649260527e+02
1.65958690743757e+01	4.81367565047147e+01	1.67100244223381e+02
1.73780082874938e+01	4.81159201052729e+01	1.66514034371114e+02
1.81970085860999e+01	4.80931877657120e+01	1.65903268199407e+02
1.90546071796326e+01	4.80683982567380e+01	1.65267206540888e+02
1.99526231496889e+01	4.80413787545138e+01	1.64605128572726e+02
2.08929613085405e+01	4.80119444011999e+01	1.63916338551855e+02
2.18776162394956e+01	4.79798979248846e+01	1.63200173309822e+02
2.29086765276778e+01	4.79450293400679e+01	1.62456010519767e+02
2.39883291901950e+01	4.79071157441894e+01	1.61683277748360e+02
2.51188643150959e+01	4.78659212391415e+01	1.60881462264868e+02
2.63026799189540e+01	4.78211969923917e+01	1.60050121590233e+02
2.75422870333818e+01	4.77726814750835e+01	1.59188894696799e+02
2.88403150312662e+01	4.77201008884728e+01	1.58297513798264e+02
3.01995172040203e+01	4.76631698181528e+01	1.57375816571087e+02
3.16227766016840e+01	4.76015921370052e+01	1.56423758648414e+02
3.31131121482593e+01	4.75350621731540e+01	1.55441426198349e+02
3.46736850452534e+01	4.74632661750000e+01	1.54429048303348e+02
3.63078054770103e+01	4.73858840829124e+01	1.53387008860375e+02
3.80189396320563e+01	4.73025916087788e+01	1.52315857694551e+02
3.98107170553500e+01	4.72130626407022e+01	1.51216320466531e+02
4.16869383470338e+01	4.71169719430812e+01	1.50089307048214e+02
4.36515832240169e+01	4.70139981488963e+01	1.48935917904000e+02
4.57088189614878e+01	4.69038269947324e+01	1.47757448133069e+02
4.78630092322641e+01	4.67861547660765e+01	1.46555388739855e+02
5.01187233627275e+01	4.66606918755241e+01	1.45331424863461e+02
5.24807460249776e+01	4.65271665200129e+01	1.44087430615279e+02
5.49540873857628e+01	4.63853283152397e+01	1.42825460412478e+02
5.75439937337161e+01	4.62349518264459e+01	1.41547736676561e+02
6.02559586074362e+01	4.60758398922488e+01	1.40256633962686e+02
6.30957344480197e+01	4.59078266505503e+01	1.38954659652019e+02
6.60693448007600e+01	4.57307801570271e+01	1.37644431593365e+02
6.91830970918941e+01	4.55446045341676e+01	1.36328652998553e+02
7.24435960074995e+01	4.53492415533642e+01	1.35010085281657e+02
7.58577575029189e+01	4.51446716111136e+01	1.33691519401695e+02
7.94328234724287e+01	4.49309140616880e+01	1.32375746438820e+02
8.31763771102677e+01	4.47080268897963e+01	1.31065528188184e+02
8.70963589956087e+01	4.44761057392266e+01	1.29763568496685e+02
9.12010839355916e+01	4.42352823317361e+01	1.28472486057320e+02
9.54992586021443e+01	4.39857223268902e+01	1.27194789344023e+02
1.00000000000001e+02	4.37276227037566e+01	1.25932854170214e+02
1.04712854805091e+02	4.34612087370499e+01	1.24688904415794e+02
1.09647819614319e+02	4.31867306782556e+01	1.23464996088632e+02
1.14815362149689e+02	4.29044602242978e+01	1.22263005027921e+02
1.20226443461742e+02	4.26146868819389e+01	1.21084618192670e+02
1.25892541179418e+02	4.23177143156958e+01	1.19931328495002e+02
1.31825673855642e+02	4.20138567638015e+01	1.18804432989833e+02
1.38038426460290e+02	4.17034355957223e+01	1.17705034147312e+02
1.44543977074594e+02	4.13867760737645e+01	1.16634043848928e+02
1.51356124843622e+02	4.10642043610393e+01	1.15592189792585e+02
1.58489319246113e+02	4.07360448169749e+01	1.14580023819172e+02
1.65958690743757e+02	4.04026175951583e+01	1.13597931841293e+02
1.73780082874939e+02	4.00642365569399e+01	1.12646144941468e+02
1.81970085861000e+02	3.97212075014967e+01	1.11724751257592e+02
1.90546071796326e+02	3.93738266995259e+01	1.10833708391458e+02
1.99526231496890e+02	3.90223797213953e+01	1.09972855955643e+02
2.08929613085406e+02	3.86671405342776e+01	1.09141928094784e+02
2.18776162394957e+02	3.83083708489926e+01	1.08340565705041e+02
2.29086765276779e+02	3.79463196889868e+01	1.07568328220189e+02
2.39883291901951e+02	3.75812231551799e+01	1.06824704839311e+02
2.51188643150960e+02	3.72133043624941e+01	1.06109125062309e+02
2.63026799189540e+02	3.68427735201733e+01	1.05420968523490e+02
2.75422870333819e+02	3.64698281341337e+01	1.04759574043047e+02
2.88403150312663e+02	3.60946533082217e+01	1.04124247903158e+02
3.01995172040204e+02	3.57174221240743e+01	1.03514271360070e+02
3.16227766016841e+02	3.53382960828719e+01	1.02928907378038e+02
3.31131121482594e+02	3.49574255915944e+01	1.02367406654249e+02
3.46736850452535e+02	3.45749504812380e+01	1.01829012941012e+02
3.63078054770105e+02	3.41910005444883e+01	1.01312967728437e+02
3.80189396320565e+02	3.38056960834906e+01	1.00818514317393e+02
3.98107170553501e+02	3.34191484591001e+01	1.00344901342071e+02
4.16869383470339e+02	3.30314606351450e+01	9.98913857820920e+01
4.36515832240170e+02	3.26427277120713e+01	9.94572355204481e+01
4.57088189614879e+02	3.22530374461671e+01	9.90417314772034e+01
4.78630092322643e+02	3.18624707507083e+01	9.86441693809171e+01
5.01187233627277e+02	3.14711021769624e+01	9.82638612082606e+01
5.24807460249777e+02	3.10790003736967e+01	9.79001363190979e+01
5.49540873857630e+02	3.06862285235927e+01	9.75523423483788e+01
5.75439937337162e+02	3.02928447566487e+01	9.72198458634143e+01
6.02559586074363e+02	2.98989025402841e+01	9.69020328240518e+01
6.30957344480199e+02	2.95044510463836e+01	9.65983088743827e+01
6.60693448007602e+02	2.91095354958434e+01	9.63080994873204e+01
6.91830970918943e+02	2.87141974813854e+01	9.60308499813300e+01
7.24435960074997e+02	2.83184752694848e+01	9.57660254281828e+01
7.58577575029191e+02	2.79224040822565e+01	9.55131104795940e+01
7.94328234724289e+02	2.75260163607081e+01	9.52716091026337e+01
8.31763771102679e+02	2.71293420099788e+01	9.50410442709679e+01
8.70963589956090e+02	2.67324086282241e+01	9.48209575869541e+01
9.12010839355919e+02	2.63352417198500e+01	9.46109088746950e+01
9.54992586021446e+02	2.59378648944763e+01	9.44104757365917e+01
1.00000000000001e+03	2.55403000527261e+01	9.42192530815772e+01
1.04712854805091e+03	2.51425675598644e+01	9.40368526380623e+01
1.09647819614320e+03	2.47446864084272e+01	9.38629024519818e+01
1.14815362149690e+03	2.43466743708824e+01	9.36970463741554e+01
1.20226443461743e+03	2.39485481432984e+01	9.35389435452619e+01
1.25892541179418e+03	2.35503234810525e+01	9.33882678755939e+01
1.31825673855642e+03	2.31520153274930e+01	9.32447075284757e+01
1.38038426460290e+03	2.27536379365190e+01	9.31079644010594e+01
1.44543977074594e+03	2.23552049899193e+01	9.29777536157217e+01
1.51356124843623e+03	2.19567297104167e+01	9.28538030097760e+01
1.58489319246113e+03	2.15582249712034e+01	9.27358526354890e+01
1.65958690743758e+03	2.11597034028706e+01	9.26236542630956e+01
1.73780082874940e+03	2.07611774985032e+01	9.25169708923365e+01
1.81970085861000e+03	2.03626597178086e+01	9.24155762668370e+01
1.90546071796327e+03	1.99641625910729e+01	9.23192543946408e+01
1.99526231496890e+03	1.95656988237663e+01	9.22277990736291e+01
2.08929613085406e+03	1.91672814026519e+01	9.21410134159152e+01
2.18776162394958e+03	1.87689237042029e+01	9.20587093761094e+01
2.29086765276780e+03	1.83706396062136e+01	9.19807072782209e+01
2.39883291901952e+03	1.79724436034890e+01	9.19068353356303e+01
2.51188643150961e+03	1.75743509285032e+01	9.18369291677528e+01
2.63026799189541e+03	1.71763776779932e+01	9.17708313055702e+01
2.75422870333820e+03	1.67785409464647e+01	9.17083906824756e+01
2.88403150312664e+03	1.63808589676318e+01	9.16494621089047e+01
3.01995172040205e+03	1.59833512648813e+01	9.15939057228054e+01
3.16227766016842e+03	1.55860388118926e+01	9.15415864109193e+01
3.31131121482595e+03	1.51889442045996e+01	9.14923731953365e+01
3.46736850452536e+03	1.47920918457517e+01	9.14461385786535e+01
3.63078054770106e+03	1.43955081434173e+01	9.14027578357672e+01
3.80189396320566e+03	1.39992217248013e+01	9.13621082461716e+01
3.98107170553502e+03	1.36032636668626e+01	9.13240682555706e+01
4.16869383470341e+03	1.32076677452761e+01	9.12885165506647e+01
4.36515832240172e+03	1.28124707033537e+01	9.12553310386779e+01
4.57088189614881e+03	1.24177125426194e+01	9.12243877098390e+01
4.78630092322645e+03	1.20234368367918e+01	9.11955593685159e+01
5.01187233627279e+03	1.16296910710170e+01	9.11687142090004e+01
5.24807460249780e+03	1.12365270081863e+01	9.11437142144503e+01
5.49540873857632e+03	1.08440010842639e+01	9.11204133498134e+01
5.75439937337165e+03	1.04521748345433e+01	9.10986555184004e+01
6.02559586074366e+03	1.00611153527010e+01	9.10782722476621e+01
6.30957344480202e+03	9.67089578452161e+00	9.10590800633183e+01
6.60693448007605e+03	9.28159585800951e+00	9.10408775053664e+01
6.91830970918946e+03	8.89330245149042e+00	9.10234417365463e+01
7.24435960075000e+03	8.50611020102268e+00	9.10065246833273e+01
7.58577575029194e+03	8.12012214816374e+00	9.09898486422157e+01
7.94328234724293e+03	7.73545042864176e+00	9.09731012782338e+01
8.31763771102683e+03	7.35221700194132e+00	9.09559299284694e+01
8.70963589956093e+03	6.97055442104638e+00	9.09379351157802e+01
9.12010839355923e+03	6.59060664060508e+00	9.09186631635197e+01
9.54992586021450e+03	6.21252986060219e+00	9.08975977886331e+01
1.00000000000001e+04	5.83649340107750e+00	9.08741505357534e+01
1.04712854805091e+04	5.46268060155184e+00	9.08476498962886e+01
1.09647819614320e+04	5.09128973648778e+00	9.08173289380833e+01
1.14815362149690e+04	4.72253493521464e+00	9.07823112496924e+01
1.20226443461743e+04	4.35664709123536e+00	9.07415949789078e+01
1.25892541179419e+04	3.99387474146167e+00	9.06940347196477e+01
1.31825673855643e+04	3.63448489062223e+00	9.06383209700005e+01
1.38038426460291e+04	3.27876374952827e+00	9.05729568536101e+01
1.44543977074595e+04	2.92701734789179e+00	9.04962317586486e+01
1.51356124843623e+04	2.57957197246065e+00	9.04061915094412e+01
1.58489319246114e+04	2.23677436902233e+00	9.03006046411004e+01
1.65958690743759e+04	1.89899163163122e+00	9.01769242992312e+01
1.73780082874940e+04	1.56661068341450e+00	9.00322452347327e+01
1.81970085861001e+04	1.24003722947370e+00	8.98632553078571e+01
1.90546071796328e+04	9.19694032238330e-01	8.96661808591907e+01
1.99526231496891e+04	6.06018321311248e-01	8.94367252497472e+01
2.08929613085407e+04	2.99458100841752e-01	8.91699998270041e+01
2.18776162394959e+04	4.67054595887391e-04	8.88604465457168e+01
2.29086765276781e+04	-2.90502331978142e-01	8.85017514834474e+01
2.39883291901953e+04	-5.73007917548839e-01	8.80867485690870e+01
2.51188643150962e+04	-8.46629937129421e-01	8.76073130347736e+01
2.63026799189542e+04	-1.11098670997359e+00	8.70542444855124e+01
2.75422870333821e+04	-1.36575502788369e+00	8.64171401675563e+01
2.88403150312665e+04	-1.61069649573560e+00	8.56842601836240e+01
3.01995172040206e+04	-1.84569141765656e+00	8.48423883071561e+01
3.16227766016843e+04	-2.07078219148020e+00	8.38766950621400e+01
3.31131121482596e+04	-2.28622856379145e+00	8.27706143813653e+01
3.46736850452537e+04	-2.49257744270172e+00	8.15057521268468e+01
3.63078054770107e+04	-2.69075013301759e+00	8.00618548934757e+01
3.80189396320567e+04	-2.88214960506771e+00	7.84168817098900e+01
3.98107170553504e+04	-3.06878932186191e+00	7.65472400851981e+01
4.16869383470342e+04	-3.25344258554731e+00	7.44282709037701e+01
4.36515832240173e+04	-3.43980642196354e+00	7.20350911181248e+01
4.57088189614883e+04	-3.63266564254743e+00	6.93439215872981e+01
4.78630092322646e+04	-3.83803009361000e+00	6.63340248088795e+01
5.01187233627281e+04	-4.06320160538590e+00	6.29903291381644e+01
5.24807460249781e+04	-4.31671001216412e+00	5.93066905919960e+01
5.49540873857634e+04	-4.60804784196138e+00	5.52895149590497e+01
5.75439937337167e+04	-4.94714422529553e+00	5.09611428604344e+01
6.02559586074368e+04	-5.34356484047222e+00	4.63620781798993e+01
6.30957344480204e+04	-5.80551064052137e+00	4.15510028480071e+01
6.60693448007607e+04	-6.33879250967437e+00	3.66017901888552e+01
6.91830970918948e+04	-6.94603085287071e+00	3.15974920811293e+01
7.24435960075003e+04	-7.62631145862347e+00	2.66223078884436e+01
7.58577575029197e+04	-8.37540515862260e+00	2.17533377464242e+01
7.94328234724295e+04	-9.18648036511719e+00	1.70540109977682e+01
8.31763771102686e+04	-1.00510955418776e+01	1.25704073623310e+01
8.70963589956096e+04	-1.09602174822250e+01	8.33065895780288e+00
9.12010839355926e+04	-1.19050681285193e+01	4.34676972267671e+00
9.54992586021453e+04	-1.28777051648600e+01	6.17812865273123e-01
1.00000000000002e+05	-1.38713343427135e+01	-2.86646523714986e+00
1.04712854805092e+05	-1.48804065009988e+01	-6.12230492002261e+00
1.09647819614320e+05	-1.59005696130093e+01	-9.16919572366946e+00
1.14815362149690e+05	-1.69285395558708e+01	-1.20278294478930e+01
1.20226443461743e+05	-1.79619368482601e+01	-1.47186858209446e+01
1.25892541179419e+05	-1.89991195492843e+01	-1.72611310354620e+01
1.31825673855643e+05	-2.00390289503318e+01	-1.96728995951001e+01
1.38038426460291e+05	-2.10810554508133e+01	-2.19698455168953e+01
1.44543977074595e+05	-2.21249264271734e+01	-2.41658730358471e+01
1.51356124843624e+05	-2.31706149266412e+01	-2.62729807481093e+01
1.58489319246114e+05	-2.42182666904244e+01	-2.83013730112850e+01
1.65958690743759e+05	-2.52681426350170e+01	-3.02596075915256e+01
1.73780082874941e+05	-2.63205740357894e+01	-3.21547594657975e+01
1.81970085861002e+05	-2.73759279885699e+01	-3.39925882136191e+01
1.90546071796328e+05	-2.84345811189006e+01	-3.57777014455283e+01
1.99526231496892e+05	-2.94968998878032e+01	-3.75137099507752e+01
2.08929613085408e+05	-3.05632261732644e+01	-3.92033722725667e+01
2.18776162394959e+05	-3.16338670786188e+01	-4.08487276476422e+01
2.29086765276782e+05	-3.27090881345833e+01	-4.24512169667122e+01
2.39883291901954e+05	-3.37891092284030e+01	-4.40117918200082e+01
2.51188643150963e+05	-3.48741027204367e+01	-4.55310119174059e+01
2.63026799189543e+05	-3.59641933045015e+01	-4.70091312971349e+01
2.75422870333822e+05	-3.70594592413567e+01	-4.84461738122304e+01
2.88403150312666e+05	-3.81599346511307e+01	-4.98419984369440e+01
3.01995172040208e+05	-3.92656125957365e+01	-5.11963549804270e+01
3.16227766016844e+05	-4.03764487197136e+01	-5.25089308378331e+01
3.31131121482598e+05	-4.14923652506770e+01	-5.37793894482904e+01
3.46736850452539e+05	-4.26132551897599e+01	-5.50074011634376e+01
3.63078054770109e+05	-4.37389865496492e+01	-5.61926672556233e+01
3.80189396320569e+05	-4.48694065230407e+01	-5.73349378087395e+01
3.98107170553505e+05	-4.60043454880068e+01	-5.84340242349448e+01
4.16869383470344e+05	-4.71436207785463e+01	-5.94898071471703e+01
4.36515832240175e+05	-4.82870401683907e+01	-6.05022402899666e+01
4.57088189614884e+05	-4.94344050338203e+01	-6.14713511924443e+01
4.78630092322648e+05	-5.05855131764576e+01	-6.23972391580167e+01
5.01187233627283e+05	-5.17401612999833e+01	-6.32800711498262e+01
5.24807460249783e+05	-5.28981471451628e+01	-6.41200760700287e+01
5.49540873857636e+05	-5.40592712958612e+01	-6.49175378687140e+01
5.75439937337169e+05	-5.52233386748510e+01	-6.56727878559199e+01
6.02559586074370e+05	-5.63901597525019e+01	-6.63861965302601e+01
6.30957344480207e+05	-5.75595514940646e+01	-6.70581651812231e+01
6.60693448007610e+05	-5.87313380725725e+01	-6.76891174704681e+01
6.91830970918951e+05	-5.99053513745575e+01	-6.82794911509587e+01
7.24435960075006e+05	-6.10814313250920e+01	-6.88297300418757e+01
7.58577575029200e+05	-6.22594260573505e+01	-6.93402763417761e+01
7.94328234724299e+05	-6.34391919501256e+01	-6.98115633324689e+01
8.31763771102689e+05	-6.46205935546056e+01	-7.02440085007556e+01
8.70963589956100e+05	-6.58035034295034e+01	-7.06380070845479e+01
9.12010839355930e+05	-6.69878019012319e+01	-7.09939260329601e+01
9.54992586021457e+05	-6.81733767634472e+01	-7.13120983567545e+01
1.00000000000000e+06	-6.93601229278935e+01	-7.15928178351545e+01
