Freq.	V(n002)
8.26268611001449e+01	(-8.68662107109694e-08dB,-7.43641742464885e-05°)
8.45514879379335e+01	(-8.68665578688608e-08dB,-7.60963383831282e-05°)
8.65209450937980e+01	(-8.68669185273369e-08dB,-7.78688498056881e-05°)
8.85362767999914e+01	(-8.68672946150526e-08dB,-7.96826483231108e-05°)
9.05985516120603e+01	(-8.68676909536453e-08dB,-8.15386956354512e-05°)
9.27088629754075e+01	(-8.68681056144601e-08dB,-8.34379758434606e-05°)
9.48683298050512e+01	(-8.68685414904793e-08dB,-8.53814959706950e-05°)
9.70780970788883e+01	(-8.68689937600657e-08dB,-8.73702864972514e-05°)
9.93393364447771e+01	(-8.68694691735115e-08dB,-8.94054019061279e-05°)
1.01653246841761e+02	(-8.68699686951441e-08dB,-9.14879212426535e-05°)
1.04021055135759e+02	(-8.68704903963087e-08dB,-9.36189486858943e-05°)
1.06444016770072e+02	(-8.68710371699877e-08dB,-9.57996141349691e-05°)
1.08923416431030e+02	(-8.68716090161811e-08dB,-9.80310738075402e-05°)
1.11460568729152e+02	(-8.68722097921988e-08dB,-1.00314510853015e-04°)
1.14056818896168e+02	(-8.68728366050583e-08dB,-1.02651135979958e-04°)
1.16713543498284e+02	(-8.68734923477421e-08dB,-1.05042188097922e-04°)
1.19432151166049e+02	(-8.68741789489052e-08dB,-1.07488934974473e-04°)
1.22214083341234e+02	(-8.68749012301849e-08dB,-1.09992673906990e-04°)
1.25060815041100e+02	(-8.68756572629262e-08dB,-1.12554732411254e-04°)
1.27973855640478e+02	(-8.68764451184743e-08dB,-1.15176468924495e-04°)
1.30954749672050e+02	(-8.68772705827939e-08dB,-1.17859273526041e-04°)
1.34005077645289e+02	(-8.68781375131950e-08dB,-1.20604568674561e-04°)
1.37126456884462e+02	(-8.68790449453501e-08dB,-1.23413809961653e-04°)
1.40320542386159e+02	(-8.68799948079141e-08dB,-1.26288486884474e-04°)
1.43589027696791e+02	(-8.68809890295421e-08dB,-1.29230123634616e-04°)
1.46933645810534e+02	(-8.68820295388889e-08dB,-1.32240279906862e-04°)
1.50356170088181e+02	(-8.68831201932645e-08dB,-1.35320551725930e-04°)
1.53858415197409e+02	(-8.68842619569963e-08dB,-1.38472572292653e-04°)
1.57442238074931e+02	(-8.68854577230668e-08dB,-1.41698012850126e-04°)
1.61109538911075e+02	(-8.68867094201309e-08dB,-1.44998583569700e-04°)
1.64862262157287e+02	(-8.68880199411711e-08dB,-1.48376034457456e-04°)
1.68702397557104e+02	(-8.68893941078247e-08dB,-1.51832156282708e-04°)
1.72631981201147e+02	(-8.68908299914367e-08dB,-1.55368781526972e-04°)
1.76653096606676e+02	(-8.68923353066271e-08dB,-1.58987785355683e-04°)
1.80767875822307e+02	(-8.68939110177232e-08dB,-1.62691086612730e-04°)
1.84978500558444e+02	(-8.68955609820350e-08dB,-1.66480648837296e-04°)
1.89287203344058e+02	(-8.68972900211998e-08dB,-1.70358481305561e-04°)
1.93696268710396e+02	(-8.68991010282001e-08dB,-1.74326640095519e-04°)
1.98208034402278e+02	(-8.69009930387084e-08dB,-1.78387229177583e-04°)
2.02824892617594e+02	(-8.69029785889819e-08dB,-1.82542401529794e-04°)
2.07549291275680e+02	(-8.69050557503657e-08dB,-1.86794360279489e-04°)
2.12383735315241e+02	(-8.69072312731520e-08dB,-1.91145359871561e-04°)
2.17330788022496e+02	(-8.69095090146508e-08dB,-1.95597707263475e-04°)
2.22393072390275e+02	(-8.69118937964994e-08dB,-2.00153763148864e-04°)
2.27573272508754e+02	(-8.69143914046628e-08dB,-2.04815943208830e-04°)
2.32874134988607e+02	(-8.69170085894332e-08dB,-2.09586719392934e-04°)
2.38298470417284e+02	(-8.69197472794656e-08dB,-2.14468621229836e-04°)
2.43849154849229e+02	(-8.69226151893798e-08dB,-2.19464237168590e-04°)
2.49529131330801e+02	(-8.69256171408132e-08dB,-2.24576215950814e-04°)
2.55341411460712e+02	(-8.69287598840582e-08dB,-2.29807268015316e-04°)
2.61289076986823e+02	(-8.69320549910444e-08dB,-2.35160166935217e-04°)
2.67375281440123e+02	(-8.69355014974443e-08dB,-2.40637750888306e-04°)
2.73603251806772e+02	(-8.69391109751878e-08dB,-2.46242924162115e-04°)
2.79976290239096e+02	(-8.69428940318769e-08dB,-2.51978658693780e-04°)
2.86497775806430e+02	(-8.69468516318393e-08dB,-2.57847995645560e-04°)
2.93171166286742e+02	(-8.69509963113320e-08dB,-2.63854047017646e-04°)
2.99999999999999e+02	(-8.69553367493024e-08dB,-2.69999997297981e-04°)
3.06987897684225e+02	(-8.69598835533527e-08dB,-2.76289105150760e-04°)
3.14138564415269e+02	(-8.69646434737753e-08dB,-2.82724705144213e-04°)
3.21455791571281e+02	(-8.69696261538449e-08dB,-2.89310209518600e-04°)
3.28943458842954e+02	(-8.69748460584736e-08dB,-2.96049109995523e-04°)
3.36605536290588e+02	(-8.69803089736263e-08dB,-3.02944979629269e-04°)
3.44446086449064e+02	(-8.69860312928702e-08dB,-3.10001474701129e-04°)
3.52469266481858e+02	(-8.69920226594799e-08dB,-3.17222336658220e-04°)
3.60679330385223e+02	(-8.69982985026950e-08dB,-3.24611394097119e-04°)
3.69080631243713e+02	(-8.70048675014630e-08dB,-3.32172564793890e-04°)
3.77677623538249e+02	(-8.70117460493508e-08dB,-3.39909857781334e-04°)
3.86474865507939e+02	(-8.70189486112707e-08dB,-3.47827375474605e-04°)
3.95477021566921e+02	(-8.70264925451171e-08dB,-3.55929315846352e-04°)
4.04688864777495e+02	(-8.70343903871473e-08dB,-3.64219974652643e-04°)
4.14115279380864e+02	(-8.70426623882383e-08dB,-3.72703747710470e-04°)
4.23761263386825e+02	(-8.70513220489747e-08dB,-3.81385133228671e-04°)
4.33631931223777e+02	(-8.70603925132160e-08dB,-3.90268734192677e-04°)
4.43732516450461e+02	(-8.70698882458744e-08dB,-3.99359260805372e-04°)
4.54068374530861e+02	(-8.70798304621542e-08dB,-4.08661532984221e-04°)
4.64644985673743e+02	(-8.70902442345699e-08dB,-4.18180482917149e-04°)
4.75467957738332e+02	(-8.71011478853436e-08dB,-4.27921157677323e-04°)
4.86543029207677e+02	(-8.71125645583346e-08dB,-4.37888721899498e-04°)
4.97876072231266e+02	(-8.71245183617299e-08dB,-4.48088460518127e-04°)
5.09473095738521e+02	(-8.71370382253537e-08dB,-4.58525781569609e-04°)
5.21340248624811e+02	(-8.71501463287381e-08dB,-4.69206219059773e-04°)
5.33483823011675e+02	(-8.71638716017073e-08dB,-4.80135435897912e-04°)
5.45910257582993e+02	(-8.71782468313955e-08dB,-4.91319226899469e-04°)
5.58626140998858e+02	(-8.71932961259895e-08dB,-5.02763521858421e-04°)
5.71638215388972e+02	(-8.72090561299337e-08dB,-5.14474388691510e-04°)
5.84953379927411e+02	(-8.72255586660345e-08dB,-5.26458036655271e-04°)
5.98578694490661e+02	(-8.72428374857537e-08dB,-5.38720819638511e-04°)
6.12521383400856e+02	(-8.72609330908454e-08dB,-5.51269239531076e-04°)
6.26788839256209e+02	(-8.72798811614260e-08dB,-5.64109949671260e-04°)
6.41388626850667e+02	(-8.72997202705948e-08dB,-5.77249758373577e-04°)
6.56328487184863e+02	(-8.73204957417431e-08dB,-5.90695632538492e-04°)
6.71616341570499e+02	(-8.73422519339347e-08dB,-6.04454701346478e-04°)
6.87260295830329e+02	(-8.73650322419062e-08dB,-6.18534260037925e-04°)
7.03268644595974e+02	(-8.73888848820314e-08dB,-6.32941773781209e-04°)
7.19649875705844e+02	(-8.74138619279939e-08dB,-6.47684881630829e-04°)
7.36412674705506e+02	(-8.74400164178050e-08dB,-6.62771400577675e-04°)
7.53565929452871e+02	(-8.74674033181309e-08dB,-6.78209329693817e-04°)
7.71118734830656e+02	(-8.74960824172750e-08dB,-6.94006854373582e-04°)
7.89080397568611e+02	(-8.75261115748860e-08dB,-7.10172350673658e-04°)
8.07460441178071e+02	(-8.75575582938873e-08dB,-7.26714389754148e-04°)
8.26268611001446e+02	(-8.75904833269098e-08dB,-7.43641742423130e-04°)
8.45514879379332e+02	(-8.76249628558241e-08dB,-7.60963383787017e-04°)
8.65209450937978e+02	(-8.76610653478812e-08dB,-7.78688498009353e-04°)
8.85362767999912e+02	(-8.76988708422616e-08dB,-7.96826483180288e-04°)
9.05985516120601e+02	(-8.77384593781458e-08dB,-8.15386956299630e-04°)
9.27088629754073e+02	(-8.77799100303870e-08dB,-8.34379758375884e-04°)
9.48683298050509e+02	(-8.78233163387502e-08dB,-8.53814959644112e-04°)
9.70780970788880e+02	(-8.78687679856910e-08dB,-8.73702864905245e-04°)
9.93393364447768e+02	(-8.79163604396294e-08dB,-8.94054018989884e-04°)
1.01653246841760e+03	(-8.79661997765879e-08dB,-9.14879212349290e-04°)
1.04021055135759e+03	(-8.80183853222965e-08dB,-9.36189486776632e-04°)
1.06444016770072e+03	(-8.80730299030701e-08dB,-9.57996141261417e-04°)
1.08923416431030e+03	(-8.81302502025334e-08dB,-9.80310737980507e-04°)
1.11460568729151e+03	(-8.81901667616209e-08dB,-1.00314510842841e-03°)
1.14056818896168e+03	(-8.82529088002145e-08dB,-1.02651135969057e-03°)
1.16713543498284e+03	(-8.83186065025236e-08dB,-1.05042188086265e-03°)
1.19432151166049e+03	(-8.83873996960324e-08dB,-1.07488934961944e-03°)
1.22214083341233e+03	(-8.84594349585172e-08dB,-1.09992673893672e-03°)
1.25060815041100e+03	(-8.85348665823745e-08dB,-1.12554732396965e-03°)
1.27973855640477e+03	(-8.86138546459654e-08dB,-1.15176468909151e-03°)
1.30954749672049e+03	(-8.86965621206334e-08dB,-1.17859273509628e-03°)
1.34005077645288e+03	(-8.87831674069619e-08dB,-1.20604568656901e-03°)
1.37126456884462e+03	(-8.88738546914989e-08dB,-1.23413809942791e-03°)
1.40320542386159e+03	(-8.89688168397399e-08dB,-1.26288486864207e-03°)
1.43589027696791e+03	(-8.90682544318002e-08dB,-1.29230123612896e-03°)
1.46933645810533e+03	(-8.91723805840520e-08dB,-1.32240279883596e-03°)
1.50356170088181e+03	(-8.92814103415230e-08dB,-1.35320551700997e-03°)
1.53858415197409e+03	(-8.93955809287724e-08dB,-1.38472572265982e-03°)
1.57442238074931e+03	(-8.95151324633421e-08dB,-1.41698012821569e-03°)
1.61109538911075e+03	(-8.96403147060488e-08dB,-1.44998583539027e-03°)
1.64862262157286e+03	(-8.97714005615685e-08dB,-1.48376034424629e-03°)
1.68702397557104e+03	(-8.99086619702500e-08dB,-1.51832156247531e-03°)
1.72631981201146e+03	(-9.00523930519738e-08dB,-1.55368781489262e-03°)
1.76653096606676e+03	(-9.02028975698954e-08dB,-1.58987785315325e-03°)
1.80767875822306e+03	(-9.03604956807373e-08dB,-1.62691086569440e-03°)
1.84978500558444e+03	(-9.05255210418069e-08dB,-1.66480648790941e-03°)
1.89287203344057e+03	(-9.06983237039787e-08dB,-1.70358481255864e-03°)
1.93696268710396e+03	(-9.08792710760215e-08dB,-1.74326640042297e-03°)
1.98208034402278e+03	(-9.10687450316168e-08dB,-1.78387229120538e-03°)
2.02824892617593e+03	(-9.12671496239778e-08dB,-1.82542401468647e-03°)
2.07549291275680e+03	(-9.14749033712301e-08dB,-1.86794360213988e-03°)
2.12383735315240e+03	(-9.16924498640135e-08dB,-1.91145359801350e-03°)
2.17330788022496e+03	(-9.19202481222078e-08dB,-1.95597707188285e-03°)
2.22393072390274e+03	(-9.21587832025346e-08dB,-2.00153763068290e-03°)
2.27573272508754e+03	(-9.24085584839376e-08dB,-2.04815943122477e-03°)
2.32874134988606e+03	(-9.26701053108576e-08dB,-2.09586719300397e-03°)
2.38298470417283e+03	(-9.29439810645773e-08dB,-2.14468621130701e-03°)
2.43849154849228e+03	(-9.32307604842741e-08dB,-2.19464237062332e-03°)
2.49529131330800e+03	(-9.35310568822246e-08dB,-2.24576215836951e-03°)
2.55341411460711e+03	(-9.38455076788925e-08dB,-2.29807267893335e-03°)
2.61289076986823e+03	(-9.41747763315834e-08dB,-2.35160166804493e-03°)
2.67375281440122e+03	(-9.45195629420474e-08dB,-2.40637750748243e-03°)
2.73603251806771e+03	(-9.48805994348415e-08dB,-2.46242924012056e-03°)
2.79976290239096e+03	(-9.52586505216571e-08dB,-2.51978658532948e-03°)
2.86497775806429e+03	(-9.56545194872848e-08dB,-2.57847995473236e-03°)
2.93171166286741e+03	(-9.60690443323049e-08dB,-2.63854046833007e-03°)
2.99999999999998e+03	(-9.65031035590516e-08dB,-2.69999997100139e-03°)
3.06987897684224e+03	(-9.69576219575789e-08dB,-2.76289104938757e-03°)
3.14138564415268e+03	(-9.74335590337298e-08dB,-2.82724704917025e-03°)
3.21455791571280e+03	(-9.79319292600140e-08dB,-2.89310209275169e-03°)
3.28943458842953e+03	(-9.84537847177135e-08dB,-2.96049109734701e-03°)
3.36605536290587e+03	(-9.90002343834316e-08dB,-3.02944979349769e-03°)
3.44446086449063e+03	(-9.95724373788011e-08dB,-3.10001474401642e-03°)
3.52469266481857e+03	(-1.00171609720776e-07dB,-3.17222336337313e-03°)
3.60679330385222e+03	(-1.00799017571341e-07dB,-3.24611393753269e-03°)
3.69080631243712e+03	(-1.01455994595404e-07dB,-3.32172564425459e-03°)
3.77677623538248e+03	(-1.02143934246176e-07dB,-3.39909857386552e-03°)
3.86474865507938e+03	(-1.02864297479794e-07dB,-3.47827375051578e-03°)
3.95477021566919e+03	(-1.03618608898010e-07dB,-3.55929315393083e-03°)
4.04688864777493e+03	(-1.04408470248773e-07dB,-3.64219974166948e-03°)
4.14115279380863e+03	(-1.05235555604596e-07dB,-3.72703747190055e-03°)
4.23761263386823e+03	(-1.06101621005826e-07dB,-3.81385132671009e-03°)
4.33631931223775e+03	(-1.07008502531994e-07dB,-3.90268733595144e-03°)
4.43732516450459e+03	(-1.07958124016434e-07dB,-3.99359260165088e-03°)
4.54068374530859e+03	(-1.08952501867916e-07dB,-4.08661532298172e-03°)
4.64644985673741e+03	(-1.09993739284687e-07dB,-4.18180482182014e-03°)
4.75467957738331e+03	(-1.11084050362657e-07dB,-4.27921156889631e-03°)
4.86543029207676e+03	(-1.12225746594809e-07dB,-4.37888721055461e-03°)
4.97876072231265e+03	(-1.13421249407466e-07dB,-4.48088459613720e-03°)
5.09473095738520e+03	(-1.14673094017591e-07dB,-4.58525780600540e-03°)
5.21340248624809e+03	(-1.15983938111743e-07dB,-4.69206218021389e-03°)
5.33483823011673e+03	(-1.17356559917418e-07dB,-4.80135434785259e-03°)
5.45910257582991e+03	(-1.18793869774977e-07dB,-4.91319225707227e-03°)
5.58626140998856e+03	(-1.20298919780928e-07dB,-5.02763520580934e-03°)
5.71638215388970e+03	(-1.21874897037627e-07dB,-5.14474387322639e-03°)
5.84953379927409e+03	(-1.23525152583107e-07dB,-5.26458035188509e-03°)
5.98578694490659e+03	(-1.25253179211544e-07dB,-5.38720818066845e-03°)
6.12521383400854e+03	(-1.27062646189048e-07dB,-5.51269237846997e-03°)
6.26788839256207e+03	(-1.28957389610390e-07dB,-5.64109947866747e-03°)
6.41388626850665e+03	(-1.30941430721221e-07dB,-5.77249756440000e-03°)
6.56328487184861e+03	(-1.33018975918077e-07dB,-5.90695630466633e-03°)
6.71616341570497e+03	(-1.35194434106269e-07dB,-6.04454699126440e-03°)
6.87260295830327e+03	(-1.37472418628544e-07dB,-6.18534257659112e-03°)
7.03268644595971e+03	(-1.39857760765669e-07dB,-6.32941771232267e-03°)
7.19649875705842e+03	(-1.42355519379704e-07dB,-6.47684878899580e-03°)
7.36412674705504e+03	(-1.44970994414591e-07dB,-6.62771397651101e-03°)
7.53565929452868e+03	(-1.47709733646446e-07dB,-6.78209326557929e-03°)
7.71118734830653e+03	(-1.50577545219816e-07dB,-6.94006851013418e-03°)
7.89080397568609e+03	(-1.53580512112597e-07dB,-7.10172347073179e-03°)
8.07460441178069e+03	(-1.56725006600943e-07dB,-7.26714385896168e-03°)
8.26268611001444e+03	(-1.60017695080905e-07dB,-7.43641738289226e-03°)
8.45514879379330e+03	(-1.63465563140953e-07dB,-7.60963379357466e-03°)
8.65209450937975e+03	(-1.67075922312262e-07dB,-7.78688493262997e-03°)
8.85362767999909e+03	(-1.70856435141236e-07dB,-7.96826478094474e-03°)
9.05985516120598e+03	(-1.74815118082488e-07dB,-8.15386950850081e-03°)
9.27088629754070e+03	(-1.78960364642702e-07dB,-8.34379752536594e-03°)
9.48683298050506e+03	(-1.83300974310464e-07dB,-8.53814953387194e-03°)
9.70780970788877e+03	(-1.87846148698951e-07dB,-8.73702858200839e-03°)
9.93393364447765e+03	(-1.92605532047693e-07dB,-8.94054011805990e-03°)
1.01653246841760e+04	(-1.97589217972862e-07dB,-9.14879204651611e-03°)
1.04021055135759e+04	(-2.02807775504125e-07dB,-9.36189478528403e-03°)
1.06444016770072e+04	(-2.08272278978797e-07dB,-9.57996132423290e-03°)
1.08923416431030e+04	(-2.13994315756465e-07dB,-9.80310728510282e-03°)
1.11460568729151e+04	(-2.19986022863441e-07dB,-1.00314509828089e-02°)
1.14056818896167e+04	(-2.26260112065277e-07dB,-1.02651134881730e-02°)
1.16713543498283e+04	(-2.32829888188998e-07dB,-1.05042186921173e-02°)
1.19432151166048e+04	(-2.39709289624861e-07dB,-1.07488933713526e-02°)
1.22214083341233e+04	(-2.46912904719930e-07dB,-1.09992672555967e-02°)
1.25060815041100e+04	(-2.54456019030132e-07dB,-1.12554730963588e-02°)
1.27973855640477e+04	(-2.62354627856523e-07dB,-1.15176467373261e-02°)
1.30954749672049e+04	(-2.70625486390326e-07dB,-1.17859271863892e-02°)
1.34005077645288e+04	(-2.79286139607095e-07dB,-1.20604566893464e-02°)
1.37126456884461e+04	(-2.88354954089533e-07dB,-1.23413808053234e-02°)
1.40320542386158e+04	(-2.97851172029846e-07dB,-1.26288484839510e-02°)
1.43589027696790e+04	(-3.07794930516306e-07dB,-1.29230121443394e-02°)
1.46933645810533e+04	(-3.18207325178882e-07dB,-1.32240277558932e-02°)
1.50356170088180e+04	(-3.29110439119080e-07dB,-1.35320549210075e-02°)
1.53858415197408e+04	(-3.40527402698267e-07dB,-1.38472569596911e-02°)
1.57442238074930e+04	(-3.52482431146464e-07dB,-1.41698009961609e-02°)
1.61109538911074e+04	(-3.65000882422020e-07dB,-1.44998580474524e-02°)
1.64862262157286e+04	(-3.78109310249645e-07dB,-1.48376031140955e-02°)
1.68702397557103e+04	(-3.91835518122780e-07dB,-1.51832152729012e-02°)
1.72631981201146e+04	(-4.06208622949241e-07dB,-1.55368777719099e-02°)
1.76653096606675e+04	(-4.21259112910901e-07dB,-1.58987781275523e-02°)
1.80767875822306e+04	(-4.37018907252029e-07dB,-1.62691082240715e-02°)
1.84978500558443e+04	(-4.53521440175825e-07dB,-1.66480644152629e-02°)
1.89287203344056e+04	(-4.70801712918146e-07dB,-1.70358476285823e-02°)
1.93696268710395e+04	(-4.88896378608372e-07dB,-1.74326634716802e-02°)
1.98208034402277e+04	(-5.07843821344316e-07dB,-1.78387223414167e-02°)
2.02824892617593e+04	(-5.27684230445497e-07dB,-1.82542395354161e-02°)
2.07549291275679e+04	(-5.48459686278348e-07dB,-1.86794353662199e-02°)
2.12383735315239e+04	(-5.70214258617694e-07dB,-1.91145352780980e-02°)
2.17330788022495e+04	(-5.92994094400626e-07dB,-1.95597699665823e-02°)
2.22393072390273e+04	(-6.16847511266354e-07dB,-2.00153755007828e-02°)
2.27573272508753e+04	(-6.41825101703666e-07dB,-2.04815934485536e-02°)
2.32874134988605e+04	(-6.67979853591968e-07dB,-2.09586710045748e-02°)
2.38298470417282e+04	(-6.95367237955192e-07dB,-2.14468611214167e-02°)
2.43849154849227e+04	(-7.24045348789408e-07dB,-2.19464226436574e-02°)
2.49529131330799e+04	(-7.54075018782255e-07dB,-2.24576204451245e-02°)
2.55341411460711e+04	(-7.85519943711332e-07dB,-2.29807255693332e-02°)
2.61289076986822e+04	(-8.18446822271846e-07dB,-2.35160153731954e-02°)
2.67375281440121e+04	(-8.52925495904273e-07dB,-2.40637736740765e-02°)
2.73603251806770e+04	(-8.89029100193969e-07dB,-2.46242909002774e-02°)
2.79976290239095e+04	(-9.26834211449159e-07dB,-2.51978642450212e-02°)
2.86497775806428e+04	(-9.66421025101756e-07dB,-2.57847978240274e-02°)
2.93171166286740e+04	(-1.00787350710703e-06dB,-2.63854028367556e-02°)
2.99999999999997e+04	(-1.05127958295208e-06dB,-2.69999977314052e-02°)
3.06987897684223e+04	(-1.09673132473568e-06dB,-2.76289083737583e-02°)
3.14138564415267e+04	(-1.14432514017677e-06dB,-2.82724682199557e-02°)
3.21455791571279e+04	(-1.19416198283826e-06dB,-2.89310184932965e-02°)
3.28943458842952e+04	(-1.24634756427948e-06dB,-2.96049083651559e-02°)
3.36605536290586e+04	(-1.30099257295893e-06dB,-3.02944951401180e-02°)
3.44446086449061e+04	(-1.35821292110262e-06dB,-3.10001444454189e-02°)
3.52469266481855e+04	(-1.41812998289353e-06dB,-3.17222304248040e-02°)
3.60679330385220e+04	(-1.48087084519730e-06dB,-3.24611359368993e-02°)
3.69080631243711e+04	(-1.54656859300380e-06dB,-3.32172527582044e-02°)
3.77677623538246e+04	(-1.61536257943959e-06dB,-3.39909817908122e-02°)
3.86474865507936e+04	(-1.68739872471016e-06dB,-3.47827332749679e-02°)
3.95477021566918e+04	(-1.76282982854293e-06dB,-3.55929270065781e-02°)
4.04688864777492e+04	(-1.84181589130919e-06dB,-3.64219925597869e-02°)
4.14115279380861e+04	(-1.92452444768246e-06dB,-3.72703695147351e-02°)
4.23761263386822e+04	(-2.01113093790570e-06dB,-3.81385076906248e-02°)
4.33631931223774e+04	(-2.10181906459366e-06dB,-3.90268673842127e-02°)
4.43732516450458e+04	(-2.19678118810857e-06dB,-3.99359196138577e-02°)
4.54068374530858e+04	(-2.29621873832939e-06dB,-4.08661463692530e-02°)
4.64644985673740e+04	(-2.40034263027863e-06dB,-4.18180408669746e-02°)
4.75467957738329e+04	(-2.50937373085857e-06dB,-4.27921078119818e-02°)
4.86543029207674e+04	(-2.62354330340824e-06dB,-4.37888636652087e-02°)
4.97876072231263e+04	(-2.74309351976341e-06dB,-4.48088369173876e-02°)
5.09473095738518e+04	(-2.86827795978060e-06dB,-4.58525683692504e-02°)
5.21340248624807e+04	(-2.99936215714898e-06dB,-4.69206114182559e-02°)
5.33483823011671e+04	(-3.13662415966747e-06dB,-4.80135323519950e-02°)
5.45910257582989e+04	(-3.28035511555897e-06dB,-4.91319106484304e-02°)
5.58626140998854e+04	(-3.43085989835789e-06dB,-5.02763392831273e-02°)
5.71638215388968e+04	(-3.58845774626308e-06dB,-5.14474250436414e-02°)
5.84953379927407e+04	(-3.75348294584999e-06dB,-5.26457888512280e-02°)
5.98578694490657e+04	(-3.92628553796296e-06dB,-5.38720660900437e-02°)
6.12521383400852e+04	(-4.10723205639490e-06dB,-5.51269069440161e-02°)
6.26788839256205e+04	(-4.29670631478392e-06dB,-5.64109767415576e-02°)
6.41388626850663e+04	(-4.49511021086834e-06dB,-5.77249563083092e-02°)
6.56328487184859e+04	(-4.70286458378031e-06dB,-5.90695423280979e-02°)
6.71616341570494e+04	(-4.92041010894873e-06dB,-6.04454477123019e-02°)
6.87260295830324e+04	(-5.14820822675449e-06dB,-6.18534019778169e-02°)
7.03268644595969e+04	(-5.38674212615294e-06dB,-6.32941516338253e-02°)
7.19649875705839e+04	(-5.63651776879903e-06dB,-6.47684605775732e-02°)
7.36412674705501e+04	(-5.89806495753246e-06dB,-6.62771104993636e-02°)
7.53565929452865e+04	(-6.17193846947366e-06dB,-6.78209012969818e-02°)
7.71118734830650e+04	(-6.45871922576535e-06dB,-6.94006514997717e-02°)
7.89080397568605e+04	(-6.75901552110359e-06dB,-7.10171987025884e-02°)
8.07460441178065e+04	(-7.07346432173738e-06dB,-7.26714000098557e-02°)
8.26268611001440e+04	(-7.40273261265043e-06dB,-7.43641324899656e-02°)
8.45514879379326e+04	(-7.74751881514030e-06dB,-7.60962936402584e-02°)
8.65209450937972e+04	(-8.10855426129471e-06dB,-7.78688018628313e-02°)
8.85362767999905e+04	(-8.48660475043744e-06dB,-7.96825969514273e-02°)
9.05985516120594e+04	(-8.88247217693669e-06dB,-8.15386405896609e-02°)
