Freq.	V(vf)
5.01187233627277e+02	(3.17738524946433e+01dB,9.53676179735566e+01°)
5.24807460249777e+02	(3.13812623364343e+01dB,9.48451431985016e+01°)
5.49540873857630e+02	(3.09878687632289e+01dB,9.43320817504285e+01°)
5.75439937337162e+02	(3.05937242878312e+01dB,9.38274648921401e+01°)
6.02559586074363e+02	(3.01988756593614e+01dB,9.33303284264486e+01°)
6.30957344480199e+02	(2.98033641653071e+01dB,9.28397125062359e+01°)
6.60693448007602e+02	(2.94072259033220e+01dB,9.23546612701852e+01°)
6.91830970918943e+02	(2.90104920229416e+01dB,9.18742223169497e+01°)
7.24435960074997e+02	(2.86131889370219e+01dB,9.13974460544383e+01°)
7.58577575029191e+02	(2.82153385031541e+01dB,9.09233849416685e+01°)
7.94328234724289e+02	(2.78169581754676e+01dB,9.04510926303076e+01°)
8.31763771102679e+02	(2.74180611267658e+01dB,8.99796230413486e+01°)
8.70963589956090e+02	(2.70186563415297e+01dB,8.95080293737017e+01°)
9.12010839355919e+02	(2.66187486797324e+01dB,8.90353630765747e+01°)
9.54992586021446e+02	(2.62183389117682e+01dB,8.85606727901601e+01°)
1.00000000000001e+03	(2.58174237246111e+01dB,8.80830032673208e+01°)
1.04712854805091e+03	(2.54159956990755e+01dB,8.76013943023443e+01°)
1.09647819614320e+03	(2.50140432583796e+01dB,8.71148796646415e+01°)
1.14815362149690e+03	(2.46115505877493e+01dB,8.66224860649874e+01°)
1.20226443461743e+03	(2.42084975250885e+01dB,8.61232321584417e+01°)
1.25892541179418e+03	(2.38048594224187e+01dB,8.56161276107621e+01°)
1.31825673855642e+03	(2.34006069780339e+01dB,8.51001722369383e+01°)
1.38038426460290e+03	(2.29957060392020e+01dB,8.45743552292001e+01°)
1.44543977074594e+03	(2.25901173752271e+01dB,8.40376545044732e+01°)
1.51356124843623e+03	(2.21837964209848e+01dB,8.34890361781486e+01°)
1.58489319246113e+03	(2.17766929909149e+01dB,8.29274542015712e+01°)
1.65958690743758e+03	(2.13687509638772e+01dB,8.23518501800648e+01°)
1.73780082874940e+03	(2.09599079393937e+01dB,8.17611534022454e+01°)
1.81970085861000e+03	(2.05500948661850e+01dB,8.11542811123372e+01°)
1.90546071796327e+03	(2.01392356443428e+01dB,8.05301390584573e+01°)
1.99526231496890e+03	(1.97272467029921e+01dB,7.98876223531189e+01°)
2.08929613085406e+03	(1.93140365559791e+01dB,7.92256166846930e+01°)
2.18776162394958e+03	(1.88995053388618e+01dB,7.85429999209779e+01°)
2.29086765276780e+03	(1.84835443314379e+01dB,7.78386441498031e+01°)
2.39883291901952e+03	(1.80660354711285e+01dB,7.71114181999829e+01°)
2.51188643150961e+03	(1.76468508637441e+01dB,7.63601906920252e+01°)
2.63026799189541e+03	(1.72258522996522e+01dB,7.55838336621730e+01°)
2.75422870333820e+03	(1.68028907849005e+01dB,7.47812268084181e+01°)
2.88403150312664e+03	(1.63778060986616e+01dB,7.39512623981856e+01°)
3.01995172040205e+03	(1.59504263902409e+01dB,7.30928508810828e+01°)
3.16227766016842e+03	(1.55205678310031e+01dB,7.22049272327273e+01°)
3.31131121482595e+03	(1.50880343386105e+01dB,7.12864580566491e+01°)
3.46736850452536e+03	(1.46526173931851e+01dB,7.03364494507656e+01°)
3.63078054770106e+03	(1.42140959670642e+01dB,6.93539556328493e+01°)
3.80189396320566e+03	(1.37722365916864e+01dB,6.83380882971854e+01°)
3.98107170553502e+03	(1.33267935868317e+01dB,6.72880266491365e+01°)
4.16869383470341e+03	(1.28775094784817e+01dB,6.62030280402293e+01°)
4.36515832240172e+03	(1.24241156321325e+01dB,6.50824390847952e+01°)
4.57088189614881e+03	(1.19663331279662e+01dB,6.39257071107330e+01°)
4.78630092322645e+03	(1.15038739028998e+01dB,6.27323917518814e+01°)
5.01187233627279e+03	(1.10364421817933e+01dB,6.15021764476398e+01°)
5.24807460249780e+03	(1.05637362159306e+01dB,6.02348795749374e+01°)
5.49540873857632e+03	(1.00854503410415e+01dB,5.89304648963007e+01°)
5.75439937337165e+03	(9.60127735965087e+00dB,5.75890509699141e+01°)
6.02559586074366e+03	(9.11091124323963e+00dB,5.62109191412183e+01°)
6.30957344480202e+03	(8.61405013885807e+00dB,5.47965197159382e+01°)
6.60693448007605e+03	(8.11039965266201e+00dB,5.33464759111593e+01°)
6.91830970918946e+03	(7.59967636969122e+00dB,5.18615851916223e+01°)
7.24435960075000e+03	(7.08161155576501e+00dB,5.03428176350027e+01°)
7.58577575029194e+03	(6.55595497425675e+00dB,4.87913110209929e+01°)
7.94328234724293e+03	(6.02247873864474e+00dB,4.72083624156290e+01°)
8.31763771102683e+03	(5.48098111195865e+00dB,4.55954161208636e+01°)
8.70963589956093e+03	(4.93129015741671e+00dB,4.39540479712883e+01°)
9.12010839355923e+03	(4.37326714160822e+00dB,4.22859460915094e+01°)
9.54992586021450e+03	(3.80680959285346e+00dB,4.05928883612862e+01°)
1.00000000000001e+04	(3.23185392356203e+00dB,3.88767169703061e+01°)
1.04712854805091e+04	(2.64837753615729e+00dB,3.71393105729030e+01°)
1.09647819614320e+04	(2.05640034728848e+00dB,3.53825546616082e+01°)
1.14815362149690e+04	(1.45598568395306e+00dB,3.36083108644669e+01°)
1.20226443461743e+04	(8.47240526359817e-01dB,3.18183859262750e+01°)
1.25892541179419e+04	(2.30315095235634e-01dB,3.00145011568398e+01°)
1.31825673855643e+04	(-3.94598196330580e-01dB,2.81982631140283e+01°)
1.38038426460291e+04	(-1.02726638516439e+00dB,2.63711362451314e+01°)
1.44543977074595e+04	(-1.66741813486918e+00dB,2.45344181307966e+01°)
1.51356124843623e+04	(-2.31474637305907e+00dB,2.26892178794670e+01°)
1.58489319246114e+04	(-2.96891130470386e+00dB,2.08364381023493e+01°)
1.65958690743759e+04	(-3.62954371180476e+00dB,1.89767607777168e+01°)
1.73780082874940e+04	(-4.29624844902399e+00dB,1.71106371907156e+01°)
1.81970085861001e+04	(-4.96860804831139e+00dB,1.52382820201940e+01°)
1.90546071796328e+04	(-5.64618635271531e+00dB,1.33596715434731e+01°)
1.99526231496891e+04	(-6.32853210949732e+00dB,1.14745458463913e+01°)
2.08929613085407e+04	(-7.01518246428575e+00dB,9.58241486081745e+00°)
2.18776162394959e+04	(-7.70566631064541e+00dB,7.68256800797813e+00°)
2.29086765276781e+04	(-8.39950746206149e+00dB,5.77408719794684e+00°)
2.39883291901953e+04	(-9.09622762528455e+00dB,3.85586292242225e+00°)
2.51188643150962e+04	(-9.79534916483182e+00dB,1.92661317636573e+00°)
2.63026799189542e+04	(-1.04963976576658e+01dB,-1.50950534459096e-02°)
2.75422870333821e+04	(-1.11989042446471e+01dB,-1.97082198904719e+00°)
2.88403150312665e+04	(-1.19024077914112e+01dB,-3.94222920644247e+00°)
3.01995172040206e+04	(-1.26064568756920e+01dB,-5.93105198439331e+00°)
3.16227766016843e+04	(-1.33106116214855e+01dB,-7.93907013075673e+00°)
3.31131121482596e+04	(-1.40144454028119e+01dB,-9.96807758334268e+00°)
3.46736850452537e+04	(-1.47175464416254e+01dB,-1.20198511175651e+01°)
3.63078054770107e+04	(-1.54195193259590e+01dB,-1.40961185349203e+01°)
3.80189396320567e+04	(-1.61199864756064e+01dB,-1.61985267552514e+01°)
3.98107170553504e+04	(-1.68185895837780e+01dB,-1.83286102842302e+01°)
4.16869383470342e+04	(-1.75149910638110e+01dB,-2.04877605732755e+01°)
4.36515832240173e+04	(-1.82088755300127e+01dB,-2.26771968238824e+01°)
4.57088189614883e+04	(-1.88999513404140e+01dB,-2.48979388093382e+01°)
4.78630092322646e+04	(-1.95879522262915e+01dB,-2.71507822861218e+01°)
5.01187233627281e+04	(-2.02726390279500e+01dB,-2.94362775438391e+01°)
5.24807460249781e+04	(-2.09538015483309e+01dB,-3.17547115923031e+01°)
5.49540873857634e+04	(-2.16312605251317e+01dB,-3.41060944071431e+01°)
5.75439937337167e+04	(-2.23048697084278e+01dB,-3.64901495545714e+01°)
6.02559586074368e+04	(-2.29745180148421e+01dB,-3.89063093917825e+01°)
6.30957344480204e+04	(-2.36401317118392e+01dB,-4.13537149014249e+01°)
6.60693448007607e+04	(-2.43016765680509e+01dB,-4.38312200695319e+01°)
6.91830970918948e+04	(-2.49591598888798e+01dB,-4.63374005677958e+01°)
7.24435960075003e+04	(-2.56126323427635e+01dB,-4.88705663576699e+01°)
7.58577575029197e+04	(-2.62621894736299e+01dB,-5.14287777077285e+01°)
7.94328234724295e+04	(-2.69079727905367e+01dB,-5.40098640115597e+01°)
8.31763771102686e+04	(-2.75501703272481e+01dB,-5.66114447196777e+01°)
8.70963589956096e+04	(-2.81890165725948e+01dB,-5.92309516614198e+01°)
9.12010839355926e+04	(-2.88247916871886e+01dB,-6.18656520320223e+01°)
9.54992586021453e+04	(-2.94578199423305e+01dB,-6.45126713601251e+01°)
1.00000000000002e+05	(-3.00884673420168e+01dB,-6.71690158471530e+01°)
1.04712854805092e+05	(-3.07171384172039e+01dB,-6.98315935799484e+01°)
1.09647819614320e+05	(-3.13442722115360e+01dB,-7.24972342517981e+01°)
1.14815362149690e+05	(-3.19703375078048e+01dB,-7.51627071788475e+01°)
1.20226443461743e+05	(-3.25958273732219e+01dB,-7.78247375539525e+01°)
1.25892541179419e+05	(-3.32212531275744e+01dB,-8.04800210298123e+01°)
1.31825673855643e+05	(-3.38471378606440e+01dB,-8.31252368551945e+01°)
1.38038426460291e+05	(-3.44740096429367e+01dB,-8.57570598916674e+01°)
1.44543977074595e+05	(-3.51023945862524e+01dB,-8.83721719076132e+01°)
1.51356124843624e+05	(-3.57328099175788e+01dB,-9.09672725737905e+01°)
1.58489319246114e+05	(-3.63657572309793e+01dB,-9.35390905716627e+01°)
1.65958690743759e+05	(-3.70017160776037e+01dB,-9.60843951718509e+01°)
1.73780082874941e+05	(-3.76411380438172e+01dB,-9.86000085522175e+01°)
1.81970085861002e+05	(-3.82844414520108e+01dB,-1.01082819010987e+02°)
1.90546071796328e+05	(-3.89320067985096e+01dB,-1.03529795100374e+02°)
1.99526231496892e+05	(-3.95841730188042e+01dB,-1.05938000572537e+02°)
2.08929613085408e+05	(-4.02412346430916e+01dB,-1.08304609902997e+02°)
2.18776162394959e+05	(-4.09034398759511e+01dB,-1.10626924048320e+02°)
2.29086765276782e+05	(-4.15709896041931e+01dB,-1.12902386013420e+02°)
2.39883291901954e+05	(-4.22440373079066e+01dB,-1.15128595754118e+02°)
2.51188643150963e+05	(-4.29226898228213e+01dB,-1.17303323927010e+02°)
2.63026799189543e+05	(-4.36070088785429e+01dB,-1.19424524018868e+02°)
2.75422870333822e+05	(-4.42970133180420e+01dB,-1.21490342439753e+02°)
2.88403150312666e+05	(-4.49926818896494e+01dB,-1.23499126241204e+02°)
3.01995172040208e+05	(-4.56939564941474e+01dB,-1.25449428215922e+02°)
3.16227766016844e+05	(-4.64007457662976e+01dB,-1.27340009240600e+02°)
3.31131121482598e+05	(-4.71129288720062e+01dB,-1.29169837830166e+02°)
3.46736850452539e+05	(-4.78303594086474e+01dB,-1.30938086973362e+02°)
3.63078054770109e+05	(-4.85528693060353e+01dB,-1.32644128409440e+02°)
3.80189396320569e+05	(-4.92802726381750e+01dB,-1.34287524580420e+02°)
3.98107170553505e+05	(-5.00123692702846e+01dB,-1.35868018549526e+02°)
4.16869383470344e+05	(-5.07489482806909e+01dB,-1.37385522214101e+02°)
4.36515832240175e+05	(-5.14897911122535e+01dB,-1.38840103160250e+02°)
4.57088189614884e+05	(-5.22346744222620e+01dB,-1.40231970509130e+02°)
4.78630092322648e+05	(-5.29833726127702e+01dB,-1.41561460093142e+02°)
5.01187233627283e+05	(-5.37356600347171e+01dB,-1.42829019277754e+02°)
5.24807460249783e+05	(-5.44913128687594e+01dB,-1.44035191713473e+02°)
5.49540873857636e+05	(-5.52501106934282e+01dB,-1.45180602266722e+02°)
5.75439937337169e+05	(-5.60118377570998e+01dB,-1.46265942339292e+02°)
6.02559586074370e+05	(-5.67762839744535e+01dB,-1.47291955747059e+02°)
6.30957344480207e+05	(-5.75432456707769e+01dB,-1.48259425290599e+02°)
6.60693448007610e+05	(-5.83125260988911e+01dB,-1.49169160115171e+02°)
6.91830970918951e+05	(-5.90839357538269e+01dB,-1.50021983925610e+02°)
7.24435960075006e+05	(-5.98572925099127e+01dB,-1.50818724093660e+02°)
7.58577575029200e+05	(-6.06324216038416e+01dB,-1.51560201671580e+02°)
7.94328234724299e+05	(-6.14091554857318e+01dB,-1.52247222305744e+02°)
8.31763771102689e+05	(-6.21873335583341e+01dB,-1.52880568027851e+02°)
8.70963589956100e+05	(-6.29668018224635e+01dB,-1.53460989888509e+02°)
9.12010839355930e+05	(-6.37474124445133e+01dB,-1.53989201388125e+02°)
9.54992586021457e+05	(-6.45290232595890e+01dB,-1.54465872653124e+02°)
1.00000000000002e+06	(-6.53114972213997e+01dB,-1.54891625301400e+02°)
1.04712854805092e+06	(-6.60947018076196e+01dB,-1.55267027939922e+02°)
1.09647819614321e+06	(-6.68785083870701e+01dB,-1.55592592239784e+02°)
1.14815362149691e+06	(-6.76627915529246e+01dB,-1.55868769540088e+02°)
1.20226443461744e+06	(-6.84474284244404e+01dB,-1.56095947941335e+02°)
1.25892541179420e+06	(-6.92322979186657e+01dB,-1.56274449860447e+02°)
1.31825673855644e+06	(-7.00172799932948e+01dB,-1.56404530030905e+02°)
1.38038426460292e+06	(-7.08022548622368e+01dB,-1.56486373940139e+02°)
1.44543977074596e+06	(-7.15871021862097e+01dB,-1.56520096700407e+02°)
1.51356124843624e+06	(-7.23717002412737e+01dB,-1.56505742348524e+02°)
1.58489319246115e+06	(-7.31559250682560e+01dB,-1.56443283565614e+02°)
1.65958690743760e+06	(-7.39396496053003e+01dB,-1.56332621804020e+02°)
1.73780082874941e+06	(-7.47227428044627e+01dB,-1.56173587807496e+02°)
1.81970085861002e+06	(-7.55050687317732e+01dB,-1.55965942514983e+02°)
1.90546071796329e+06	(-7.62864856489458e+01dB,-1.55709378347295e+02°)
1.99526231496892e+06	(-7.70668450742802e+01dB,-1.55403520888336e+02°)
2.08929613085409e+06	(-7.78459908203560e+01dB,-1.55047930985733e+02°)
2.18776162394960e+06	(-7.86237580068007e+01dB,-1.54642107308179e+02°)
2.29086765276783e+06	(-7.93999720475356e+01dB,-1.54185489407217e+02°)
2.39883291901955e+06	(-8.01744476133160e+01dB,-1.53677461339481e+02°)
2.51188643150964e+06	(-8.09469875719451e+01dB,-1.53117355911781e+02°)
2.63026799189544e+06	(-8.17173819102278e+01dB,-1.52504459616222e+02°)
2.75422870333823e+06	(-8.24854066435297e+01dB,-1.51838018326206e+02°)
2.88403150312667e+06	(-8.32508227207546e+01dB,-1.51117243826631e+02°)
3.01995172040209e+06	(-8.40133749346855e+01dB,-1.50341321252920e+02°)
3.16227766016845e+06	(-8.47727908499852e+01dB,-1.49509417513214e+02°)
3.31131121482599e+06	(-8.55287797637261e+01dB,-1.48620690765852e+02°)
3.46736850452540e+06	(-8.62810317161231e+01dB,-1.47674301019494e+02°)
3.63078054770110e+06	(-8.70292165721357e+01dB,-1.46669421915346e+02°)
3.80189396320570e+06	(-8.77729831977419e+01dB,-1.45605253739385e+02°)
3.98107170553507e+06	(-8.85119587578780e+01dB,-1.44481037696472e+02°)
4.16869383470345e+06	(-8.92457481661812e+01dB,-1.43296071457400e+02°)
4.36515832240176e+06	(-8.99739337196206e+01dB,-1.42049725963601e+02°)
4.57088189614886e+06	(-9.06960749536842e+01dB,-1.40741463442239e+02°)
4.78630092322650e+06	(-9.14117087558002e+01dB,-1.39370856546434e+02°)
5.01187233627284e+06	(-9.21203497758852e+01dB,-1.37937608491708e+02°)
5.24807460249785e+06	(-9.28214911730675e+01dB,-1.36441574010800e+02°)
5.49540873857638e+06	(-9.35146057364839e+01dB,-1.34882780895701e+02°)
5.75439937337171e+06	(-9.41991474153326e+01dB,-1.33261451839554e+02°)
6.02559586074372e+06	(-9.48745532888611e+01dB,-1.31578026233847e+02°)
6.30957344480209e+06	(-9.55402460005043e+01dB,-1.29833181520552e+02°)
6.60693448007612e+06	(-9.61956366718618e+01dB,-1.28027853647492e+02°)
6.91830970918954e+06	(-9.68401283016336e+01dB,-1.26163256131503e+02°)
7.24435960075008e+06	(-9.74731196421401e+01dB,-1.24240897201461e+02°)
7.58577575029203e+06	(-9.80940095319308e+01dB,-1.22262594475459e+02°)
7.94328234724301e+06	(-9.87022016476511e+01dB,-1.20230486626415e+02°)
8.31763771102692e+06	(-9.92971096223759e+01dB,-1.18147041510974e+02°)
8.70963589956102e+06	(-9.98781624617205e+01dB,-1.16015060279148e+02°)
9.12010839355933e+06	(-1.00444810173983e+02dB,-1.13837677047428e+02°)
9.54992586021460e+06	(-1.00996529517184e+02dB,-1.11618353805148e+02°)
1.00000000000000e+07	(-1.01532829754900e+02dB,-1.09360870330460e+02°)
